大越史記本紀續編卷之十六	Đại Việt Sử Ký Bản Kỷ Tục Biên quyển chi thập lục.
世宗毅皇帝	Thế Tông Nghị Hoàng Đế.
敬宗惠皇帝克濟大業光宅區夏而翊扶正統多頼	Kính Tông Huệ Hoàng Đế khắc tế đại nghiệp quang trạch khu hạ nhi dực phù chính thống đa lại.
成祖哲王之聖德文功	Thành Tổ Triết Vương chi thánh đức văn công.
烈謨增賁于前基緒永再於後	Liệt mô tăng bí vu tiền, cơ tự vĩnh tái ư hậu.
逮我皇父誕膺駿命嗣守鴻圖	Đãi Ngã Hoàng phụ, đản ưng tuấn mệnh, tự thủ hồng đồ.
上承聖祖神宗創守之䂓恪遵紀律前頼文祖誼王扶持之力興起治功	Thượng thừa Thánh tổ Thần tông sáng thủ chi quy, khác tuân kỷ luật, tiền lại Văn Tổ Nghị Vương phù trì chi lực, hưng khởi trị công.
中正德欲進乾剛髙明學益資頤養	Trung chính đức dục tiến kiền cương, cao minh học ích tư di dưỡng.
寔頼大元帥掌國政尚師西王薰陶成就而致其德之純暨欽差節制各處	Thực lại Đại nguyên soái Chưởng quốc chính thượng sư Tây Vương huân đào thành tựu, nhi trí kì đức chi thuần, kị Khâm sai Tiết chế các xứ..
水步諸營兼總政柄太尉宜國公輔弼彌縫而成其政之羙	thuỷ bộ chư dinh kiêm Tổng chính bính Thái uý Nghi quốc công phụ bật di phùng nhi thành kì chính chi mĩ.
四十四年無爲而治億兆百姓咸遂其生	Tứ thập tứ niên, vô vi nhi trị, ức triệu bách tính hàm toại kì sinh.
兹適倦勤之餘念以託孤之重	Tư thích quyện cần chi dư, niệm dĩ thác cô chi trọng.
幸頼大元帥掌國政尚師西王德昭忠聖力茂保衡𠃔節制府准大臣文武百僚等請尊立朕即皇帝位	Hạnh lại Đại nguyên soái Chưởng quốc chính thượng sư Tây Vương, đức chiêu trung thánh, lực mậu bảo hành, doãn Tiết chế phủ, chuẩn đại thần văn vũ bách liêu đẳng thỉnh, tôn lập trẫm tức Hoàng đế vị.
朕居諒隂自以幼冲難當負荷	Trẫm cư lượng âm, tự dĩ ấu trùng nan đương phụ hạ.
然念宗廟大噐社稷重寄弗堪辭遜惟謹遵承	Nhiên niệm tông miếu đại khí, xã tắc trọng kí, phất kham từ tốn, duy cẩn tuân thừa.
廼於本年本月日即皇帝位大赦改元以明年癸卯爲景治元年	Nãi ư bản niên, bản nguyệt nhật, tức Hoàng đế vị, đại xá, cải nguyên, dĩ minh niên Quý Mão vi Cảnh Trị nguyên niên.
尚頼大臣文武百官明勗交脩輔成厥	Thượng lại đại thần văn võ bá quan minh úc giao tu phụ thành, quyết..
德以膺天地祖宗付畀之重以慰内外臣民視聽之情	đức dĩ ưng thiên địa tổ tông phó tí chi trọng, dĩ uý nội ngoại thần dân thị thính chi tình.
於戱五位光登兹布清明之政億年卜歷佇綿長久之圖	Ô hô! ngũ vị quang đăng, tư bố thanh minh chi chính, ức niên bốc lịch trữ miên trường cửu chi đồ.
布告邇遐使皆聞見	Bố cáo nhĩ hà, sử giai văn kiến".
命胡士揚阮名實與户科給事中嘉壽男阮廷正等徃關上接使領受北朝頒賞銀幣等物并勑諭文	Mệnh Hồ Sĩ Dương, Nguyễn Danh Thực dữ Hộ khoa cấp sự trung Gia Thọ nam Nguyễn Đình Chính đẳng vãng quan thượng tiếp sứ lĩnh thụ Bắc triều ban thưởng ngân tệ đẳng vật tịnh sắc dụ văn.
十二月奉賫回京	Thập nhị nguyệt, phụng tê hồi Kinh.
大𧻗史記本紀續編卷之十八終	Đại Việt sử ký bản kỷ tục biên quyển chi thập bát chung.
大越史記本紀續編卷之十九	Đại Việt Sử Ký Bản Kỷ Tục Biên quyển chi thập cửu.
黎皇朝紀	Lê Hoàng Triều KỶ.
玄宗穆皇帝諱維䄔神宗之子真宗之弟在位九年壽十八歲而崩䘮果盛陵帝天資仁厚神采靖嚴居拱之年海内安治年榖豊登亦可謂賢君矣享國不永惜哉癸卯景治元年明永曆十七年清康熙二年春正月時帝年幼王遣左都督擢郡公鄭槏右都督普郡公黄仕科都督同知强郡公阮援都督僉事膠郡公鄭楹入管四衛兵侍衛〇	Huyền Tông Mục Hoàng Đế [Huý Duy Vũ, Thần Tông chi tử, Chân Tông chi đệ. Tại vị cửu niên, thọ thập bát tuế nhi băng. Táng Quả Thịnh lăng. Đế thiên tư nhân hậu, thần thái tĩnh nghiêm, cư củng chi niên hải nội an trị niên cốc phong đăng, diệc khả vị hiền quân hĩ. Hưởng quốc bất vĩnh. Tích tai! Quý Mão Cảnh Trị nguyên niên, [Minh Vĩnh Lịch thập thất niên, Thanh Khang Hi nhị niên,] xuân chính nguyệt, thời Đế niên ấu, Vương khiến Tả đô đốc Trạc quận công Trịnh Kiêm Hữu đô đốc Phổ quận công Hoàng Sĩ Khoa, Đô đốc đồng tri Cường quận công Nguyễn Viện, Đô đốc thiêm sự Giao quận công Trịnh Doanh nhập quản tứ vệ binh thị vệ .
二月以胡士楊爲東閣大學士陞子爵阮名實陞男爵阮廷正陞子爵	Nhị nguyệt, dĩ Hồ Sĩ Dương vi Đông các đại học sĩ thăng tử tước, Nguyễn Danh Thực thăng Nam tước, Nguyễn Đình Chính thăng tử tước,..
以其徃關上接領北朝攷賞勑諭銀幣故也〇	dĩ kì vãng quan , tiếp lĩnh Bắc triều khảo thưởng sắc dụ ngân tệ cố dã .
命胡士楊阮名實阮廷正等徃關上候命〇	Mệnh Hồ Sĩ Dương, Nguyễn Danh Thực, Nguyễn Đình Chính đẳng vãng quan thượng hậu mệnh .
贈都督同知韜郡公莫敬門爲左都督	Tặng Đô đốc đồng tri Thao quận công Mạc Kính Môn vi Tả đô đốc.
敬門係僞族屬先以革心歸命蒙加職爵	Kính Môn hệ nguỵ tộc thuộc tiên dĩ cách tâm quy mệnh mông gia chức tước.
敬門復迯回高平	Kính Môn phục đào hồi Cao Bằng.
後又詣關爲臣	Hậu hựu nghệ quan vi thần.
王含弘大德更容納優待	Vương hàm hoằng đại đức cánh dung nạp ưu đãi.
至是殆又贈之〇	Chí thị đãi hựu tặng chi .
三月禁天下官民賭搏〇	Tam nguyệt, cấm thiên hạ quan dân đổ bác .
是月十五日皇弟黎維祫誕生〇	Thị nguyệt, thập ngũ nhật, Hoàng đệ Lê Duy Hợp đản sinh .
夏四月加少傅護郡公武公添掌司禮監總太監兼各監司事〇	Hạ tứ nguyệt, gia Thiếu phó Hộ quận công Vũ Công Thiêm chưởng ti lễ giám tổng thái giám kiêm các giám ti sự .
五月令旨御史󰉟勘問詞訟當遵律令守廉勒	Ngũ nguyệt, lệnh chỉ ngự sử đài khám vấn từ tụng đương tuân luật lệnh thủ liêm lặc..
仍戒勑十三道監察御史一體遵行毋得淹留廢格〇	những giới sắc thập tam đạo, giám sát ngự sử nhất thể tuân hành, vô đắc yêm lưu phế cách .
令旨各處承憲二司查察所屬府縣官某能用心撫字訓化部民公明廉直政平訟理某不能盡心恤民務爲苛刻貪鄙賄賂怠廢政事者各以名聞以僃黜陟〇	Lệnh chỉ các xứ Thừa Hiến nhị ti tra sát sở thuộc phủ huyện quan mỗ năng dụng tâm phủ tự huấn hoá bộ dân, công minh liêm trực chính bình tụng lí, mỗ bất năng tận tâm tuất dân vụ vi hà khắc tham bỉ hối lộ đãi phế chính sự giả các dĩ danh văn dĩ bị truất trắc .
六月遣正使黎斅副使楊㵆同存澤如清歲貢附謝恩及告哀事〇	Lục nguyệt, khiến Chính sứ Lê Hiệu phó sứ Dương Hạo đồng tồn trạch như Thanh tuế cống, phụ tạ ân cập cáo ai sự .
大水泛溢渰民田禾浸民盧屋	Đại thuỷ phiếm dật, yêm dân điền hoà, tẩm dân lư ốc.
快州常信地方水害愈甚〇	Khoái Châu, Thường Tín địa phương thuỷ hại dũ thậm .
令旨各處鎮守係諸犯人迯匿應拿捉付襨議施行	Lệnh chỉ các xứ trấn thủ hệ chư phạm nhân đào nặc ứng nã tróc, phó phức nghị thi hành.
又戒内外該勘官諸犯人不	Hựu giới nội ngoại cai khám quan chư phạm nhân bất..
預八議各隨輕重論刑毋得許贖〇	dự Bát nghị các tuỳ khinh trọng luận hình, vô đắc hứa chuộc .
秋七月申明教化四十七條	Thu thất nguyệt, thân minh giáo hoá tứ thập thất điều.
其畧曰爲臣盡忠爲子止孝兄弟相和睦夫妻相愛敬朋友止信以輔仁父母脩身以教子師生以道相持家長以禮立教子弟恪敬父兄婦人無違夫子婦人夫亡無子不得私運貨財居鄕黨者長幼相敬愛便害相興除毋以强而陵弱無唱訟而行私豪强不得勘訟事男女不得肆滛風證訟者以實而無徇貨財旅次者防姦而勿拒投宿勿占道路爲園	Kì lược viết: Vi thần tận trung, vi tử chỉ hiếu, huynh đệ tương hoà mục, phu thê tương ái kính, bằng hữu chỉ tín, dĩ phụ nhân phụ mẫu tu thân dĩ giáo tử, sư sinh dĩ đạo tương trì, gia trưởng dĩ lễ lập giáo, tử đệ khác kính phụ huynh, phụ nhân vô vi phu tử, phụ nhân phu vong vô tử bất đắc tư vận hoá tài, cư hương đảng giả trưởng ấu tương kính ái, tiện hại tương hưng, trừ vô dĩ cường nhi lăng nhược, vô xướng tụng nhi hành tư, hào cường bất đắc khám tụng sự, nam nữ bất đắc tứ dâm phong, chứng tụng giả dĩ thực nhi vô tuân hoá tài, lữ thứ giả phòng gian nhi vật cự đầu túc, vật chiếm đạo lộ vi viên..
圃勿侵溪港爲沼池山林川澤之便與眾共之坊社村庄之長擇人爲之生業務勤鄕飲從儉毋倚特權勢而寄記詞訟毋故将老弱而嫁禍善人毋托僧妮以避役無唆人訟以取財事爭訟者毋爲羅織以誣人業商買者毋聚徒黨而爲盗橋梁道路有頽弊者隨便修培吏事簿牒不得倒顛陵廟祠墓不得侵破男女勿爲巫覡之徒䘮家勿為中元之唱毋傲慢官長毋誘賣人口配匹當班族類勿論貨財䘮禮各隨豊儉	phố, vật xâm khê cảng vi chiểu trì, sơn lâm xuyên trạch chi tiện dữ chúng cộng chi, phường xã thôn trang chi trưởng trạch nhân vi chi sinh nghiệp, vụ cần hương ẩm tòng kiệm vô ỷ đặc quyền thế nhi ký kí từ tụng, vô cố tương lão nhược nhi giá hoạ thiện nhân, vô thác tăng ni dĩ tị dịch, vô toa nhân tụng dĩ thủ tài, sự tranh tụng giả vô vi la chức dĩ vu nhân, nghiệp thương mãi giả vô tụ đồ đảng nhi vi đạo, kiều lương đạo lộ hữu đồi tệ giả tuỳ tiện tu bồi, lại sự bạ điệp bất đắc đảo điên, lăng miếu từ mộ bất đắc xâm phá, nam nữ vật vi vu hích chi đồ, táng gia vật vi trung nguyên chi xướng, vô ngạo mạn quan trưởng, vô dụ mại nhân khẩu, phối thất đương ban tộc loại, vật luận hoá tài, táng lễ các tuỳ phong kiệm..
毋索飲食間耕同田不得相要錢榖同居鄕邑不得相攘財物	vô sách ẩm thực gian, canh đồng điền bất đắc tương yêu tiền cốc, đồng cư hương ấp bất đắc tương nhương tài vật.
凡若干條攷布天下各處承憲府縣州等衙門各抄一本掛于視事堂仍輔送所屬各社民各書于扁留掛亭中許官員監生生徒社長以鄕飲日會集男女長幼講解曉示使之耳濡目染知所勸懲	Phàm nhược can điều khảo bố thiên hạ các xứ Thừa Hiến phủ huyện châu đẳng nha môn các sao nhất bản quải vu thị sự đường, những phụ tống sở thuộc các xã dân các thư vu biên lưu quải đình trung, hứa quan viên, giám sinh, sinh đồ, xã trưởng dĩ hương ẩm nhật hội tập nam nữ trưởng ấu giảng giải hiểu thị, sử chi nhĩ nhu mục nhiễm tri sở khuyến trừng.
自是人心漸歸善俗矣〇	Tự thị, nhân tâm tiệm quy thiện tục hĩ .
八月令旨各處承司察屬内民有外國客人寓居者各類以聞隨疑區處以别姝俗〇	Bát nguyệt, lệnh chỉ các xứ thừa ti sát thuộc nội dân hữu ngoại quốc khách nhân ngụ cư giả các loại dĩ văn, tuỳ nghi khu xứ dĩ biệt xu tục .
九月以阮公璧爲京北處參政阮簷爲海陽處參	Cửu nguyệt, dĩ Nguyễn Công Bích vi Kinh Bắc xứ tham chính, Nguyễn Thiềm vi Hải Dương xứ tham..
政阮名實爲刑科都給事中黎公朝爲清華道監察御史〇	chính, Nguyễn Danh Thực vi Hình khoa đô cấp sự trung, Lê Công Triều vi Thanh Hoa đạo giám sát ngự sử .
修南郊昭事殿	Tu Nam Giao Chiêu Sự điện.
先是南郊以有殿宇而制度猶尙狹小	Tiên thị, Nam Giao dĩ hữu điện vũ nhi chế độ do thượng hiệp tiểu.
至是王命增加營作	Chí thị, vương mệnh tăng gia doanh tác.
其正殿堂四角柱用石爲之基庭内外並砌以石棟梁榱桷一皆朱漆湘金規模制度煥爾鼎新	Kì chính điện đường tứ giác trụ, dụng thạch vi chi cơ, đình nội ngoại tịnh thế dĩ thạch, đống lương suy giác nhất giai châu tất tương kim, quy mô chế độ hoán nhĩ đỉnh tân.
王復命詞臣胡士楊等撰文勒石以紀其事〇	Vương phục mệnh từ thần Hồ Sĩ Dương đẳng soạn văn lặc thạch dĩ kỷ kì sự .
冬十月禁天下學花郎道	Đông thập nguyệt, cấm thiên hạ học Hoa Lang đạo.
初有花郎國人入居國中立爲異道誕惑愚民鄙夫鄙婦多信慕之聽講之塲羣居混雜男女無别	Sơ hữu Hoa Lang quốc nhân nhập cư quốc trung lập vi dị đạo, đản hoặc ngu dân, bỉ phu bỉ phụ đa tín mộ chi, thính giảng chi trường quần cư hỗn tạp, nam nữ vô biệt.
󰪀已驅去其人而	Nang dĩ khu khứ kì nhân nhi..
書居猶存弊習未改	thư cư do tồn tệ tập vị cải.
至是復嚴禁之〇	Chí thị, phục nghiêm cấm chi .
以阮曰任爲太原處承政使范維質爲山西處參政〇	Dĩ Nguyễn Viết Nhiệm vi Thái Nguyên xứ Thừa chính sứ, Phạm Duy Chất vi Sơn Tây xứ tham chính .
十一月减赦四鎮民季税有差由被洪水損失禾榖故也〇	Thập nhất nguyệt, giảm xá tứ trấn dân quý thuế hữu sai do bị hồng thuỷ tổn thất hoà cốc cố dã .
鄕試天下士人〇	Hương thí thiên hạ sĩ nhân .
十二月以衛郡公鄭梐爲都督同知〇	Thập nhị nguyệt, dĩ Vệ quận công Trịnh Bệ vi Đô đốc đồng tri .
貶范立禮爲兵科都給中中以立禮任海陽處參政勘堤路失實故也中	Biếm Phạm Lập lễ vi Binh khoa đô cấp sự trung, dĩ Lập Lễ nhiệm Hải Dương xứ tham chính khám đê lộ thất thực, cố dã .
以都督同知祿郡公丁文左行安廣處都總兵使〇	Dĩ Đô đốc đồng tri Lộc quận công Đinh Văn tả hành Yên Quảng xứ đô tổng binh sứ .
命京官徃清華乂安二處開例	Mệnh kinh quan vãng Thanh Hoa Nghệ An nhị xứ khai lệ.
甲辰二年明永曆十八年清康熙三年春二月參酌會試塲條	Giáp Thìn nhị niên, [Minh Vĩnh Lịch thập bát niên, Thanh Khang Hi tam niên,] xuân nhị nguyệt, tham chước Hội thí trường điều..
例自是永爲常制〇	lệ tự thị vĩnh vi thường chế .
帝加尊王以殊禮曉論文武臣僚曰朕聞建無窮之基必有無窮之聞有殊常之功必待殊常之禮刊諸捥琰萬世可徵	Đế gia tôn Vương dĩ thù lễ, hiểu luận văn võ thần liêu viết: Trẫm văn, kiến vô cùng chi cơ tất hữu vô cùng chi văn, hữu thù thường chi công tất đãi thù thường chi lễ, san chư uyển diễm vạn thế khả trưng.
我國家乘時啓運應天順人	Ngã quốc gia thừa thời khải vận, ứng thiên thuận nhân.
太祖髙皇帝起義平吳時多頼賢臣宣勞而功弘開創冠󰅾衣裳因而復正綱常統紀頼以復明	Thái Tổ Cao Hoàng đế khởi nghĩa bình Ngô thời, đa lại hiền thần tuyên lao nhi công hoằng khai sáng, quan đái y thường nhân nhi phục chính, cương thường thống kỷ lại dĩ phục minh.
其荗功盛德盖亦罕有列	Kì mậu công thịnh đức cái diệc hãn hữu liệt.
聖皇帝繼體法祖時寔頼勳臣爲輔而業保守成紀綱制度罔不󰍶張號今典文煥	Thánh hoàng đế kế thể pháp tổ thời thực lại huân thần vi phụ nhi nghiệp bảo thủ thành kỷ cương chế độ, võng bất tất trương hiệu kim điển văn hoán.
然可述其豊功偉績謁然可觀祭自光紹統元	Nhiên khả thuật kì phong công vĩ tích yết nhiên khả quan tế tự Quang Thiệu, Thống Nguyên..
年間被莫氏之姦臣竊羿浞之禍心六年之間已無复矣	niên gian bị Mạc thị chi gian thần thiết Nghệ Trác chi hoạ tâm, lục niên chi gian dĩ vô phục hĩ.
所幸皇天啓中興之基篤生鄭先祖世祖太王成祖哲王奮起布衣糾率義旅爲天下除殘安社稷爲念尊立我皇祖莊宗裕皇帝中宗武皇帝中興基業實肇於此	Sở hạnh, Hoàng thiên khải Trung Hưng chi cơ, đốc sinh Trịnh tiên tổ Thế Tổ Thái Vương, Thành Tổ Triết Vương phấn khởi bố y kiểu suất nghĩa lữ vi thiên hạ trừ tàn, an xã tắc vi niệm, tôn lập ngã Hoàng tổ Trang Tông Dụ Hoàng Đế, Trung Tông Vũ Hoàng Đế Trung hưng cơ nghiệp thực triệu ư thử.
至英宗峻皇帝自位時有小人耿潝廷彦之讒致有不平之事此時成祖哲王處大疑而不恤任重責而不顧欽立世宗毅皇帝即位于萬頼行在殿仍發大兵掃除僞莫收復京城英䧺並入彀中天下	Chí Anh Tông Tuấn Hoàng Đế tự vị thời hữu tiểu nhân Cảnh hấp Đình Ngạn chi sàm, trí hữu bất bình chi sự, thử thời Thành Tổ Triết Vương xứ đại nghi nhi bất tuất, nhiệm trọng trách nhi bất cố, khâm lập Thế Tông Nghị Hoàng Đế tức vị vu Vạn Lại hành tại điện, những phát đại binh tảo trừ nguỵ Mạc, thu phục kinh thành, anh hùng tịnh nhập cấu trung, thiên hạ..
已運掌上	dĩ vận chưởng thượng.
又能篤尊君之義奉迎聖駕進御昇龍城	Hựu năng đốc tôn quân chi nghĩa phụng nghênh Thánh giá tiến ngự Thăng Long thành.
物光复复社更生春其聖德文功輝煥天地太山磐石寧撫國家雖中興之詩中興之碑曷足以形容其萬一	Vật quang phục phục, xã cánh sinh xuân, kì thánh đức văn công huy hoán thiên địa Thái Sơn Bàn Thạch ninh phủ quốc gia, tuy trung hưng chi thi trung hưng chi bi hạt túc dĩ hình dung kì vạn nhất.
繼以敬宗惠皇帝䂓國綿長久之休于家督婚媾之義不意結與逆椿之邪謀卒啓不祥之釁	Kế dĩ Kính Tông Huệ Hoàng Đế quy quốc miên trường cửu chi hưu vu gia đốc hôn cấu chi nghĩa bất ý kết dữ nghịch xuân chi tà, mưu tốt khải bất tường chi hấn.
此時成祖哲王無纖芥于胸中不以天下自私更尊立我皇考神宗淵皇帝誕膺景命嗣守鴻圖若禮若度全資文祖誼王造就之功	Thử thời, Thành Tổ Triết Vương vô tiêm giới vu hung trung bất dĩ thiên hạ tự tư, cánh tôn lập ngã Hoàng khảo Thần Tông Uyên Hoàng Đế đản ứng cảnh mệnh tự thủ hồng đồ, nhược lễ nhược độ toàn tư Văn Tổ Nghị Vương tạo tựu chi công.
兹大元帥掌國政尙師西王保乂	Tư Đại nguyên soái chưởng quốc chính Thượng Sư Tây Vương bảo nghệ..
皇家撫安中外其忠愛拳拳始終弗渝	hoàng gia phủ an trung ngoại, kì trung ái quyền quyền thuỷ chung phất du.
又傅委王世子欽差節制各處水步諸營兼總政柄太尉宜國公鄭根内賛政機外楊武衞殄不庭之烏冦復有指之舊疆功盖宇宙德被生靈天下賴以平安而我家統綿有永治享無窮大扺皆王家匡扶其力之	Hựu phó uỷ Vương thế tử khâm sai tiết chế các xứ thuỷ bộ chư doanh, kiêm tổng chính bính thái uý Nghi quốc công Trịnh Căn nội tán chính cơ, ngoại dương vũ vệ, điển bất đình chi Ô khấu phục hữu chỉ chi cựu cương, công cái vũ trụ, đức bị sinh linh, thiên hạ lại dĩ bình an, nhi ngã gia thống miên hữu vĩnh trị, hưởng vô cùng đại chỉ, giai Vương gia khuông phù kì lực chi.
所致歟逮黄考適倦于勸危疑之際全頼尙師西王任託孤之寄惟節制府及大臣文武百官等尊立朕即皇帝位以繼大統養正旣顯󰌩功歸姝又諧泰祉其交修舊頼	Sở trí dư đãi Hoàng khảo thích quyện vu khuyến nguy nghi chi tế, toàn lại Thượng sư Tây Vương nhiệm thác cô chi ký duy tiết chế phủ cập đại thần văn vũ bách quan đẳng tôn lập trẫm tức Hoàng đế vị dĩ kế đại thống dưỡng chính ký hiển mông công quy xu, hựu hài thái chỉ kì giao tu cựu lại..
若是其切視夫前代之功之德益以大矣	nhược thị kì thiết thị phu tiền đại chi công chi đức ích dĩ đại hĩ.
曾聞古者敬大臣之禮有敬以不名有敬以不拜况今尙師西王有大勳勞于天下其功德如天精忠貫日質諸前代而未有參諸前史而未聞若不荗著表揚何以稱王文之功聖之德副朕倚望之心	Từng văn, cổ giả kính đại thần chi lễ hữu kính dĩ bất danh, hữu kính dĩ bất bái, huống kim Thượng sư Tây Vương hữu đại huân lao vu thiên hạ, kì công đức như thiên tinh trung quán nhật, chất chư tiền đại nhi vị hữu, tham chư tiền sử nhi vị văn, nhược bất mậu trứ biểu dương hà dĩ xưng vương văn chi công thánh chi đức phó trẫm ỷ vọng chi tâm.
繼今應尊以不名不拜之禮其入朝特設板床於御殿之左以示殊禮	Kế, kim ứng tôn dĩ bất danh bất bái chi lễ, kì nhập triều đặc thiết bản sàng ư ngự điện chi tả, dĩ thị thù lễ.
朕以幼冲嗣位雖未徧知來歷事由然常聞顧命之言不得不宣諭于天下使知王家功德之盛	Trẫm dĩ ấu xung tự vị tuy vị biến tri lai lịch sự do nhiên thường văn cố mệnh chi ngôn bất đắc bất tuyên dụ vu thiên hạ sử tri Vương gia công đức chi thịnh.
爾等欽哉〇	Nhĩ đẳng khâm tai .
三月會試天下舉人	Tam nguyệt, Hội thí thiên hạ cử nhân.
取中格武惟斷等十三名	Thủ trúng cách Vũ Duy Đoạn đẳng thập tam danh .
以阮潤爲刑部左侍郎阮國櫆爲刑部右侍郎黄榮爲大理寺卿〇	Dĩ Nguyễn Nhuận vi Hình bộ tả thị lang, Nguyễn Quốc khôi vi Hình bộ hữu thị lang, Hoàng Vinh vi Đại lí tự khanh .
夏四月命副将少傅宗郡公鄭横陪從禮部左侍郎豊禄子吳濬襨考各處生徒于珥河沙中	Hạ tứ nguyệt, mệnh phó tướng thiếu phó Tông quận công Trịnh Hoành, Bồi tòng lễ bộ tả thị lang Phong Lộc tử Ngô Tuấn phức khảo các xứ sinh đồ vu Nhị hà sa trung.
先是試法疏闊尙容懷挾	Tiên thị, thí pháp sơ khoát thượng dung hoài hiệp.
庚子以來雖已禁止亦未周密中舉者多有木訥借手眾議沸騰	Canh Tí dĩ lai tuy dĩ cấm chỉ diệc vị chu mật, trúng cử giả đa hữu mộc nột, tá thủ, chúng nghị phất đằng.
至是命官襨考丁酉庚子癸卯三科生徒	Chí thị, mệnh quan phức khảo Đinh Dậu, Canh Tí, Quý Mão tam khoa sinh đồ.
考題用唐律詩一首與暗寫傅正文兼大註	Khảo đề dụng Đường luật thi nhất thủ, dữ ám tả phó chính văn kiêm đại chú.
入格者仍生徒不入格者留學三年	Nhập cách giả những sinh đồ, bất nhập cách giả lưu học tam niên,..
免役	miễn dịch.
再試不中者始還民受役	Tái thí bất trúng giả thuỷ hoàn dân thụ dịch.
時不入格者過半〇	Thời, bất nhập cách giả quá bán .
五月麥大熟〇	Ngũ nguyệt, mạch đại thục .
禁便許職爵	Cấm tiện hứa chức tước.
時倖濫之徒多妄求職爵及封贈𦤶有名噐冗濫	Thời hãnh lạm chi đồ đa vọng cầu chức tước cập phong tặng, trí hữu danh khí nhũng lạm.
故禁之〇	Cố cấm chi .
立粟米五量法其󰱡合升斗斛倣黄鍾律爲凖頒内外各衙門一體遵行〇	Lập túc mễ ngũ lượng pháp kì dược hợp thăng đấu hộc phỏng Hoàng Chung luật vi chuẩn, phân nội ngoại các nha môn nhất thể tuân hành .
六月殿試	Lục nguyệt, điện thí.
賜阮曰庻進士出身梁荗勳等十二名同進士出身〇	Tứ Nguyễn Viết Thứ tiến sĩ xuất thân, Lương Mậu Huân đẳng thập nhị danh đồng tiến sĩ xuất thân .
以阮能紹爲吏部左侍郎武榮進爲副都御史阮名實爲清華處參政黎公朝爲清華處憲察使〇	Dĩ Nguyễn Năng Thiệu vi Lại bộ tả thị lang, Vũ Vinh Tiến vi Phó đô ngự sử, Nguyễn Danh Thực vi Thanh Hoa xứ tham chính, Lê Công Triều vi Thanh Hoa xứ Hiến sát sứ .
貶石都督萊郡公鄭栢爲都督同知都督	Biếm Thạch đô đốc Lai quận công Trịnh Bách vi Đô đốc đồng tri Đô đốc,..
同知纘郡公鄭𣛧爲都督僉事	đồng tri Toản quận công Trịnh Sâm vi Đô đốc thiêm sự.
時鄭栢鄭𣛧同任提領不能戒戢手下肆行冗弊受賂銀錢	Thời, Trịnh Bách, Trịnh Sâm đồng nhiệm đề lĩnh bất năng giới tập thủ hạ, tứ hành nhũng tệ, thụ lộ ngân tiền.
以是貶之	Dĩ thị biếm chi .
閏六月右都督全郡公鄭梯卒	Nhuận lục nguyệt, Hữu đô đốc Toàn quận công Trịnh Đệ tốt.
贈少保	Tặng Thiếu bảo .
立追收賞罰條例	Lập truy thu thưởng phạt điều lệ.
其大畧以爲諸在社民有姦匈人同族同社平時不能訓戒至事發又不能捕納各罰錢五拾貫其所償財命錢收在犯人不得連捉	Kì đại lược dĩ vi chư tại xã dân hữu gian hung nhân, đồng tộc đồng xã bình thời bất năng huấn giới, chí sự phát hựu bất năng bổ, nạp các phạt tiền ngũ thập quán, kì sở thường tài mệnh tiền thu tại phạm nhân, bất đắc liên tróc.
若犯人窮無所出許以罰錢給被害人送塟	Nhược phạm nhân cùng vô sở xuất, hứa dĩ phạt tiền cấp bị hại nhân tống táng.
自是該勘諸司遵以爲常	Tự thị, cai khám chư ti tuân dĩ vi thường .
秋七月申禁衣服過制	Thu thất nguyệt, thân cấm y phục quá chế.
時官員民庻衣服多有不依	Thời, quan viên dân thứ y phục đa hữu bất y..
官尺裁制	quan xích tài chế.
至是復申禁之〇	Chí thị, phục thân cấm chi .
八月以范質爲刑科都給事中〇	Bát nguyệt, dĩ Phạm Chất vi Hình khoa đô cấp sự trung .
冬十月刑部尙書桂堂侯致仕文允䌙卒	Đông thập nguyệt, Hình bộ thượng thư Quế Đường hầu trí sĩ Văn Doãn hoàng tốt.
贈郡公爵〇	Tặng quận công tước .
十一月戊子朔日有食之〇	Thập nhất nguyệt, Mậu Tí sóc nhật, hữu thực chi .
己酉彗出東南翼軫分尾指張宿長五丈	Kỉ Dậu, tuệ xuất Đông Nam, Dực, Chẩn phân vĩ chỉ Trương, túc trường ngũ trượng.
帝與王交修儆省避宫殿减膳徹樂	Đế dữ Vương giao tu cảnh tỉnh, tị cung điện, giảm thiện, triệt lạc.
詔文武臣僚商議時政得失即散去非額水陸廵司凣十三處如正大廵慕周廵之類人心悅喜	Chiếu văn vũ thần liêu thương nghị thời chính đắc thất tức tán khứ phi ngạch thuỷ lục tuần ti phàm thập tam xứ [như Chính Đại tuần, Mộ Chu tuần chi loại,] Nhân tâm duyệt hỉ.
自是彗漸消散矣〇	Tự thị, Tuệ tiệm tiêu tán hĩ .
時諸犯人已經論罪迯遁者多令旨許各自首重者减輕者赦	Thời, chư phạm nhân dĩ kinh luận tội đào độn giả đa lệnh chỉ hứa các tự thú trọng giả giảm, khinh giả xá.
不首者扺罪〇	Bất thú giả chỉ tội .
設五府掌署	Thiết ngũ phủ chưởng, thự..
官	quan.
