大越史記本紀實録卷之十一	Đại Việt sử ký bản kỷ thực lục quyển chi thập nhất.
以東閣大𭓇士阮貴雅為吏部左侍郎	Dĩ Đông các đại học sĩ Nguyễn Quý Nhã vi Lại bộ tả thị lang.
甲申三年明嘉靖三年	Giáp Thân tam niên [Minh Gia Tĩnh tam niên ].
春帝在菩提行營進封莫登庸	Xuân, đế tại Bồ Đề hành dinh tiến phong Mạc Đăng Dung..
為平章軍國重事太傅仁國公	vi Bình Chương quân quốc trọng sự Thái phó nhân quốc công.
莫登庸使其黨莫橛領兵擊鄭綏于清華源頭	Mạc Đăng Dung sử kì đảng Mạc Quyết lĩnh binh kích Trịnh Tuy vu Thanh Hoa nguyên đầu.
以阮貴雅為御史󰱑副都御史	Dĩ Nguyễn Quý Nhã vi Ngự sử đài Phó đô ngự sử.
秋八月作考試閲󰱇塲在神武殿前衛直盧	Thu, bát nguyệt, tác khảo thí duyệt tuyển trường tại Thần Vũ điện tiền vệ trực lư.
造户籍田簿	Tạo hộ tịch điền bạ.
冬十一月二十四日奉加封列聖睿號帝后各一字	Đông, thập nhất nguyệt, nhị thập tứ nhật, phụng gia phong liệt thánh duệ hiệu đế hậu các nhất tự.
贈故鉄山伯陳真為郡公封其子陳實爲弘休伯	Tặng cố Thiết Sơn bá Trần Chân vi Quận công, phong kì tử Trần Thực vi Hoằng Hưu bá.
初真為奸臣所譖𭁈子弟六人俱被殺	Sơ Chân vị gian thần sở tiếm, dữ tử đệ lục nhân cụ bị sát.
至是帝知其忠故贈之	Chí thị, đế tri kì trung cố tặng chi.
乙酉四年明嘉靖四年	Ất Dậu tứ niên [Minh Gia Tĩnh tứ niên ].
是年地震者二	Thị niên, địa chấn giả nhị.
夏六月大旱	Hạ, lục nguyệt, đại hạn.
十五日月食	Thập ngũ nhật, nguyệt thực.
冬十月初九日莫登庸經行各處自為都将總率天下水步諸營擊鄭綏于清華源頭	Đông, thập nguyệt, sơ cửu nhật, Mạc Đăng Dung kinh hành các xứ, tự vi Đô tướng tổng suất thiên hạ thuỷ bộ chư doanh kích Trịnh Tuy vu Thanh Hoa nguyên đầu.
二十八日未時接得光紹帝於清都府良政州翠󰁮󰀋髙山安仁洞	Nhị Thập bát nhật, Mùi thì, tiếp đắc Quang Thiệu Đế ư Thanh Đô phủ, Lang Chánh châu, Thuý Cử sách, Cao Sơn, Yên Nhân động.
十一月朔光紹帝回到東河	Thập nhất nguyệt, sóc, Quang Thiệu Đế hồi đáo Đông Hà.
十二日光紹帝在二等御朱	Thập nhị nhật, Quang Thiệu Đế tại Nhị đẳng ngự chu.
所時早未朝軍士集於行在門外婆染處	Sở thời tảo, vị triều, quân sĩ tập ư hành tại môn ngoại, Bà Nhiễm xứ.
十九日大赦	Thập cửu nhật, đại xá.
其詔文曰帝王去暴安民聿大春秋之統人君施惠行慶盍弘	Kì chiếu văn viết: "Đế vương khứ bạo an dân, duật đại xuân thu chi thống, nhân quân thi huệ hành khánh hạp hoằng..
雨露之仁道合弛張化覃普率	vũ lộ chi nhân, đạo hợp thỉ trương hoá đàm phổ suất.
我國家乘時啟運應天順人	Ngã quốc gia thừa thời khải vận, ứng thiên thuận nhân.
太祖髙皇帝創業開基拯生靈於水火	Thái tổ Cao Hoàng Đế sáng nghiệp khai cơ, chửng sinh linh ư thuỷ hoả.
太宗文皇帝立經陳紀奠國势於金湯端本洪源深仁厚澤	Thái Tông Văn Hoàng Đế lập kinh trần kỷ, điện quốc thế ư kim thang, đoan bản hồng nguyên, thâm nhân hậu trạch.
聖宗淳皇帝内寧外撫戡以武寧以文	Thánh Tông Thuần Hoàng Đế nội ninh ngoại phủ, kham dĩ vũ ninh dĩ văn.
憲宗睿皇帝位践禮行顯㢤謨承哉烈神傳聖繼矩襲䂓	Hiến Tông Duệ Hoàng Đế vị tiễn lễ hành hiển tai, mô thừa tai, liệt thần truyền thánh, kế củ tập quy.
重共和思衍於周休屯否偶遭於漢厄	Trọng cộng hoà tư diễn ư Chu, hưu truân phủ ngẫu tao ư Hán ách.
洪順光紹之際國步多难	Hồng Thuận Quang Thiệu chi tế quốc bộ đa nạn.
陳暠鄭綏之徒乱階大釀擾	Trần Cảo, Trịnh Tuy chi đồ loạn, giai đại nhưỡng nhiễu.
擾豺狼肆毒嗷嗷鴻鴈哀鳴	Nhiễu sài lang tứ độc, ngao ngao hồng nhạn ai minh.
予以德宗之孫明宗之子惟義𭁈比俯從百	Dư dĩ Đức Tông chi tôn, Minh Tông chi tử, duy nghĩa dữ tỉ, phủ tòng bách..
官之樂推視民如傷甚憫帬生之久困	quan chi lạc, thôi thị dân như thương, thậm mẫn quần sinh chi cửu khốn.
欲底戢戈之效載稽推𣫂之文	Dục để tập qua chi hiệu, tải kê suy cốc chi văn.
特命都將太傅仁國公莫登庸總率天下水步諸營聲罪至討	Đặc mệnh Đô tướng thái phó Nhân Quốc công Mạc Đăng Dung tổng suất thiên hạ thuỷ bộ chư doanh thanh tội chí thảo.
節制之兵方鷹陽而虎闞逋迯之眾已蟻潰而麕驚	Tiết chế chi binh phương ưng dương nhi hổ hám, bô đào chi chúng, dĩ nghị hội nhi quân kinh.
暠綏脱喙而速亡敬盎捧頭而就戮	Cảo, Tuy thoát uế nhi tốc vong, Kính Áng bổng đầu nhi tựu lục.
克慎餘歡之輩須㬰鱷断於天関公侃廷瓚之流󰟸刻兎窮於良政	Khắc Thận, Dư Hoan chi bối tu du ngạc đoạn ư Thiên Quan; Công Khản, Đình Toản chi lưu, khoảnh khắc thỏ cùng ư Lang Chánh.
當此純陰月季接得陀陽王㱕	Đương thử thuần âm nguyệt quý, tiếp đắc Đà Dương Vương quy.
東西南北攸同諒無思而不服溥博淵泉時出宜敷政以在寬	đông tây nam Bắc du đồng, lạng vô tư nhi bất phục, phổ bác uyên tuyền, thời xuất nghi phu chính dĩ tại khoan.
合行事宜左方用列於	Hợp hành sự nghi tả phương dụng liệt ư.
戲軍體元而𭛁	Hô quân thể nguyên nhi phát..
育兹同天地之生成民敏德而恊中尚挽唐󰔄之熙暭	dục, tư đồng thiên địa chi sinh; thành dân mẫn đức nhi hiệp trung, thượng vãn Đường Ngu chi hi hạo.
布告天下咸使文之	Bố cáo thiên hạ, hàm sử văn chi.
十二月十五日夜雷震	Thập nhị nguyệt, thập ngũ nhật, dạ, lôi chấn.
十七日月食	Thập thất nhật, nguyệt thực.
以楊金鏕提領四城軍務事封端禮侯	Dĩ Dương Kim Ao Đề lĩnh tứ thành quân vụ sự, phong Đoan Lễ hầu.
莫登庸殺福良侯何飛鶽等	Mạc Đăng Dung sát Phúc Lương hầu Hà Phi Chuẩn đẳng.
時飛鶽等聞莫登庸已逼光紹帝解散北竄為其徒紫岳伯執送京師隘殺之	Thời Phi Chuẩn đẳng văn Mạc Đăng Dung dĩ bức Quang Thiệu Đế, giải tán Bắc thoán, vị kì đồ Tử Nhạc Bá chấp tống Kinh sư, ải sát chi.
飛鶽既死嚴伯驥𭁈阮熾竄死於諒山文淵州	Phi Chuẩn ký tử, Nghiêm Bá Ký dữ Nguyễn Xí thoán tử ư Lạng Sơn, Văn Uyên châu.
譚慎揮以前日奉使諳程常馳告陀陽王播迁亦竄死	Đàm Thận Huy dĩ tiền nhật phụng sứ am trình thường trì cáo Đà Dương Vương bá thiên, diệc thoán tử.
阮文運阮太拨皆死義	Nguyễn Văn Vận, Nguyễn Thái Bạt giai tử nghĩa.
阮有嚴	Nguyễn Hữu Nghiêm..
竄三農後檻送京師車裂以徇並推殺其子	thoán Tam Nông, hậu giám tống Kinh sư, xa liệt dĩ tuẫn, tịnh suy sát kì tử.
楊楷後亦檻送京師釋之黜為廣南承政使死於任所	Dương Khải hậu diệc giám tống Kinh sư, thích chi, truất vi Quảng Nam Thừa chính sứ, tử ư nhậm sở.
楷善於詼諧人皆鄙之	Khải thiện ư khôi hài, nhân giai bỉ chi.
獨范謙柄䏻告出謁黜爲户部有侍郎	Độc Phạm Khiêm Bính năng cáo xuất yết, truất vi Hộ bộ hữu thị lang.
阮荗常從光紹帝回清華及光紹帝為登庸所逼荗竄身回京待罪	Nguyễn Mậu thường tòng Quang Thiệu Đế hồi Thanh Hoa, cập Quang Thiệu Đế vị Đăng Dung sở bức, Mậu thoán thân hồi Kinh đãi tội.
帝将殺之范嘉謨為愛其才可任言諍乃釋之尋貶為宣光承政使未幾再保為御史󰱑都御史	Đế tương sát chi, Phạm Gia Mô vị ái kì tài, khả nhiệm ngôn tránh, nãi thích chi, tầm biếm vi Tuyên Quang thừa chính sứ, vị cơ tái bảo vi Ngự sử đài đô ngự sử.
丙戌五年明嘉靖五年	Bính Tuất ngũ niên [Minh Gia Tĩnh ngũ niên ].
春二月十二日帝行西京光紹帝預焉	Xuân, nhị nguyệt, thập nhị nhật, đế hạnh Tây Kinh, Quang Thiệu Đế dự yên.
命端禮侯楊金鏕留守東京	Mệnh Đoan Lễ hầu Dương Kim Ao lưu thủ Đông Kinh.
三月十五日月食	Tam nguyệt, thập ngũ nhật, nguyệt thực.
定扈從留守二十四條	Định hộ tòng lưu thủ nhị thập tứ điều.
夏四月會試天下士人	Hạ, tứ nguyệt, Hội thí thiên hạ sĩ nhân.
守范廷光等二十人	Thủ Phạm Đình Quang đẳng nhị thập nhân.
廷試問以聖哲之理天下	Đình thí vấn dĩ thánh triết chi lí thiên hạ.
賜第一甲陳必聞阮文猷劉忠𠃔三名進士及第第二甲黎光貢等四名進士出身第三甲范廷光等十三名同進士出身陳必聞安老縣月盎社人仕莫官至尚書韓川伯藻之父	Tứ đệ nhất giáp Trần Tất Văn, Nguyễn Văn Du, Lưu Trung Doãn tam danh tiến sĩ cập đệ; Đệ nhị giáp Lê Quang Cống đẳng tứ danh tiến sĩ xuất thân; Đệ tam giáp Phạm Đình Quang đẳng thập tam danh đồng tiến sĩ xuất thân [Trần Tất Văn Yên Lão huyện, Nguyệt Áng xã nhân, sĩ Mạc quan chí Thượng thư hàn xuyên bá, Tảo chi phụ].
秋七月十五日定功選任	Thu, thất nguyệt, thập ngũ nhật, định công tuyển nhiệm.
令御史󰱑都御史阮荗奏一官軍則有衛司所等職管民則有府縣州等官	Lệnh ngự sử đài Đô ngự sử Nguyễn Mậu tấu: nhất quan quân tắc hữu vệ, ti, sở đẳng chức; quản dân tắc hữu phủ, huyện, châu đẳng quan.
󰱇任之方不可以不公也	Tuyển nhiệm chi phương bất khả dĩ bất công dã.
伏乞繼今前	Phục khất kế kim tiền..
項職有鈌該長官具奏送吏部照鈌銓除如例	hạng chức hữu khuyết, cai trưởng quan cụ tấu tống Lại bộ chiếu khuyết thuyên trừ như lệ.
若某貟人猶有具本堪保并應除者吏科駁停其本以示󰱇任之公	Nhược mỗ viên nhân do hữu cụ bản kham bảo tịnh ứng trừ giả Lại khoa bác đình kì bản dĩ thị tuyển nhiệm chi công.
八月令上洪下洪荆門南策太平等府築海陽真金堤	Bát nguyệt, lệnh Thượng Hồng, Hạ Hồng, Kinh Môn, Nam Sách, Thái Bình đẳng phủ trúc Hải Dương, Chân Kim đê.
莫登庸殺進郡公阮領	Mạc Đăng Dung sát Tiến Quận công Nguyễn Lĩnh.
領娶莫登庸之妹璤僣封慶艷公主	Lĩnh thú Mạc Đăng Dung chi muội Huệ, tiếm phong Khánh Diễm công chúa.
領又娶妾十人	Lĩnh hựu thú thiếp thập nhân.
璤遂訴領樹黨書故殺之	Huệ toại tố lĩnh thụ đảng thư, cố sát chi.
因以璤㱕于良溪侯裴堵後封臨國公	Nhân dĩ Huệ quy vu Lương Khê hầu Bùi Đổ, hậu phong Lâm Quốc công.
時侍書阮詮本娶領女及領見殺詮亦出其女	Thời Thị thư Nguyễn Thuyên bản thú Lĩnh nữ, cập Lĩnh kiến sát Thuyên diệc xuất kì nữ.
初六日以御史󰱑副都御史阮貴雅為吏部尚書陪侍經筵	Sơ lục nhật, dĩ Ngự sử đài phó đô ngự sử Nguyễn Quý Nhã vi Lại bộ thượng thư bồi thị kinh diên.
九月二十一日御史󰱑都御史阮荗等奏一賛理記録将臣吏有軍功已具本應引󰱇定為逐項以次銓除牧民首領等職若不合資格者除中尉百户等職以息冗濫之弊	Cửu nguyệt, nhị thập nhất nhật, Ngự sử đài Đô ngự sử Nguyễn Mậu đẳng tấu: Nhất tán lí, ký lục, tướng thần lại, hữu quân công dĩ cụ bản ứng dẫn tuyển định vi trục hạng, dĩ thứ thuyên trừ mục dân thủ lĩnh đẳng chức, nhược bất hợp tư cách giả trừ trung uý, bách hộ đẳng chức dĩ tức nhũng lạm chi tệ.
冬十二月十八日太傅仁國公莫登庸令沛溪伯范金榜密弑光卲帝于降所因以梓宫回塟于清潭之永興陵	Đông, thập nhị nguyệt, thập bát nhật, Thái phó Nhân quốc công Mạc Đăng Dung lệnh Phái Khê bá Phạm Kim Bảng mật thí Quang Thiệu Đế vu giáng sở, nhân dĩ tử cung hồi táng vu Thanh Đàm chi Vĩnh Hưng Lăng.
丁亥六年六月元年以後莫僣明德明嘉靖六年	Đinh Hợi lục niên [Lục nguyệt nguyên niên. dĩ hậu Mạc tiếm Minh Đức Minh Gia Tĩnh lục niên].
夏四月遣松楊侯武有蘭川伯潘廷佐中使杜孝悌等持節旄賫	Hạ, tứ nguyệt, khiển Tùng Dương hầu Vũ Hữu, Lan Xuyên bá Phan Đình Tá, Trung sứ Đỗ Hiếu Đễ đẳng trì tiết mao, tê..
金󰀋烏龍冠服玉󰅾紫轎畫扇紫傘徃宜陽古齋進封莫登庸為安興王加九錫	kim sách, ô long, quan phục, ngọc đái, tử kiệu, hoạ phiến, tử tán vãng Nghi Dương, Cổ Trai tiến phong Mạc Đăng Dung vi An Hưng Vương, gia Cửu Tích.
登庸迎接於新明安插渡	Đăng Dung nghinh tiếp ư Tân Minh, An Tháp độ.
五月初一日司天奏日食不驗初五日頒扇御制周公輔成王詩祐命周家實自天勤勞佐治任仁賢	Ngũ nguyệt, sơ nhất nhật, Tư Thiên tấu nhật thực bất nghiệm Sơ ngũ nhật, ban phiến ngự chế Chu Công phụ Thành Vương thi: Hựu mệnh Chu gia thực tự thiên, Cần lao tá trị nhiệm nhân hiền.
譖邪肯為讒人設忠孝終存實德堅	Trấm tà khẳng vị sàm nhân thiết, Trung hiếu chung tồn thực đức kiên.
禮僃樂和平定日政清刑措暭熙年	Lễ bị lạc hoà bình định nhật, Chính thanh hình thố hạo hi niên.
林風令聞光千古景行髙山尚勉㫋	Lâm phong lệnh văn quang thiên cổ, Cảnh hạnh cao sơn thượng miễn chiên.
莫登庸自古齋詣京師入拜見自東華門出大興門	Mạc Đăng Dung tự Cổ Trai nghệ Kinh sư, nhập bái kiến, tự Đông Hoa môn xuất Đại Hưng môn.
是日有小雨	Thị nhật, hữu tiểu vũ.
十一日莫登庸再回古齋	Thập nhất nhật, Mạc Đăng Dung tái hồi Cổ Trai.
六月莫登庸自古齋入京逼帝禅位	Lục nguyệt, Mạc Đăng Dung tự Cổ Trai nhập Kinh bức Đế thiền vị.
時國中臣民咸属莫登庸俱迎入京	Thời quốc trung thần dân hàm thuộc Mạc Đăng Dung, cụ nghinh nhập kinh.
十五日百官班定未有禅詔	Thập ngũ nhật, bách quan ban định vị hữu thiền chiếu.
百官令吏部尚書張孚説草之	Bách quan lệnh Lại bộ thượng thư Trương Phu Duyệt thảo chi.
孚説張目叱之曰此何義也	Phu thuyết trương mục sất chi viết: "Thử hà nghĩa dã".
復令東閣大𭓇士道源伯阮文泰	Phục lệnh Đông các đại học sĩ Đạo Nguyên bá Nguyễn Văn Thái.
文泰遂秉筆作之其詔曰惟我大越祖乘時革命誕受多方列聖相傳嗣有曆服盖由天命人心恊應以致然也	Văn Thái toại bỉnh bút tác chi kì chiếu viết: "Duy ngã Đại Việt Tổ, thừa thời cách mệnh, đản thụ đa phương, liệt thánh tương truyền, tự hữu lịch phục, cái do thiên mệnh nhân tâm hiệp ứng, dĩ trí nhiên dã.
洪順末年時遭多難陳暠首構乱階鄭綏立逆竪人心既離天命弗祐	Hồng Thuận mạt niên, thời tao đa nạn, Trần Cảo thủ cấu loạn, giai Trịnh Tuy lập nghịch thụ, nhân tâm ký li, thiên mệnh phất hữu.
是時天下以非	Thị thời, thiên hạ dĩ phi..
我家所有	ngã gia sở hữu.
予否德忝位負荷弗堪天命人心㱕于有德	Dư phủ đức, thiểm vị, phụ hà phất kham, Thiên mệnh nhân tâm quy vu hữu đức.
咨爾太師安興王莫登庸禀睿智之資有文武之畧	Tư nhĩ Thái sư An Hưng Vương Mạc Đăng Dung, bẩm duệ trí chi tư, hữu văn vũ chi lược.
外飭四征羣方率服内宅百揆庶績咸熙	Ngoại sức tứ chinh, quần phương suất phục, nội trạch bách quỹ, thứ tích hàm hi.
功大德懋天𭁈人㱕	Công đại đức mậu, thiên dữ nhân quy.
兹酌厥中乃遜以位	Tư chước quyết trung, nãi tốn dĩ vị.
惟克𠃔德永保天命以康兆民	Duy khắc doãn đức, vĩnh bảo thiên mệnh, dĩ khang triệu dân.
尚其欽哉	Thượng kì khâm tai".
是日登庸稱皇帝	Thị nhật, Đăng Dung xưng hoàng đế.
大赦改元明德	Đại xá, cải nguyên Minh Đức.
降封帝為恭王與皇太后鄭氏幽于西内宮	Giáng phong đế vi Cung Vương dữ Hoàng thái hậu Trịnh Thị u vu Tây Nội cung.
後數月逼令自盡	Hậu sổ nguyệt, bức lệnh tự tận.
太后祝天曰登庸乃人臣反萌簒位復殺吾母子他日彼之子孫亦猶是也	Thái hậu chúc thiên viết: "Đăng Dung nãi nhân thần, phản manh soán vị, phục sát ngô mẫu tử, tha nhật bỉ chi tử tôn diệc do thị dã".
遂𭁈宮帝俱殂	Toại dữ Cung Đế cụ tồ.
登	Đăng..
庸迁其屍于北使舘暴露㱕塟于御天之華陽陵從天子皇後禮今御天縣羙舍社有承休殿是也	Dung thiên kì thi vu Bắc sứ quán bạo lộ, quy táng vu Ngự Thiên chi Hoa Dương lăng tòng thiên tử hoàng hậu lễ [Kim Ngự Thiên huyện, Mĩ Xá xã hữu Thừa Hưu điện thị dã ].
論曰令望本畧云明人之禍古所未有	Luận viết: [Lệnh vọng bản lược vân ] Minh nhân chi hoạ cổ sở vị hữu.
黎太祖󰁮一旅之師殄百萬之㓂十餘年間而天下大定斯亦難矣	Lê Thái Tổ cử nhất lữ chi sư điễn bách vạn chi khấu, thập dư niên gian nhi thiên hạ đại định, tư diệc nan hĩ.
復䏻親率六師經理四塞平忙禮平狗玁定太原定宣光占城復從哀牢震懾	Phục năng thân suất lục sư, kinh lí tứ tắc, bình Mường Lễ, bình Cẩu Hiểm, định Thái Nguyên, định Tuyên Quang, Chiêm Thành phục tòng, Ai Lao chấn nhiếp.
功德之盛無以加也	Công đức chi thịnh vô dĩ gia dã.
然多行殺戮頗有不仁	Nhiên, đa hành sát lục, pha hữu bất nhân.
太宗重道崇儒設科取士任賢納諫敬天勤民斯亦勤矣	Thái Tông trọng đạo sùng nho, thiết khoa thủ sĩ, nhiệm hiền nạp gián, kính thiên cần dân, tư diệc cần hĩ.
然耽于酒色不正其終	Nhiên, đam vu tửu sắc, bất chính kì chung.
仁宗	Nhân Tông..
以幼冲之資撫豊亨之運母后稱制海宇謐寧	dĩ ấu xung chi tư, phủ phong hanh chi vận, mẫu hậu xưng chế, hải vũ mật ninh.
然不幸遭变甚可痛惜	Nhiên, bất hạnh tao biến, thậm khả thống tích.
聖宗時属内難人同推戴尊臨五位振刷百為	Thánh Tông thời thuộc nội nạn, nhân đồng suy đái tôn lâm ngũ vị, chấn loát bách vi.
立府衛定官制興禮樂󰁮廉能征討四疆開拓土宇	Lập phủ vệ, định quan chế, hưng lễ nhạc, cử liêm năng, chinh thảo tứ cương, khai thác thổ vũ.
茶全就擒老撾土崩琉球輿尸琴公走死四瀰賔服八極傾風三十八年天下安治	Trà Toàn tựu cầm, Lão Qua thổ băng, Lưu Cầu dư thi, Cầm Công tẩu tử, tứ di tấn phục, bát cực khuynh phong, tam thập bát niên, thiên hạ an trị.
何其盛哉	Hà kì thịnh tai!.
憲宗存心圖治而享國不永	Hiến Tông tồn tâm đồ trị nhi hưởng quốc bất vĩnh.
肃宗尊師重道而早年夭殁	Túc Tông Tôn sư trọng đạo nhi tảo niên yểu một.
繼以愍厲之暴虐不道靈隱之簒弑得國陀陽王之内乱見迫恭皇帝之天祚	Kế dĩ Mẫn Lệ chi bạo ngược bất đạo, Linh Ẩn chi soán thí đắc quốc, Đà Dương Vương chi nội loạn, kiến bách Cung Hoàng Đế chi thiên tộ..
已移果何為哉	dĩ di, quả hà vi tai!.
附莫登庸僣位三年僣追稱尊號為太宗登庸宜陽古齋人初以漁為業及長有舅力考中力士出身	Phụ Mạc Đăng Dung [Tiếm vị tam niên tiếm truy xưng tôn hiệu vi Thái Tông Đăng Dung Nghi Dương, Cổ Trai nhân, sơ dĩ ngư vi nghiệp, cập trưởng hữu cữu lực, khảo trúng lực sĩ xuất thân.
洪順間陞都指揮使武川伯歷士三朝	Hồng Thuận gian, thăng Đô chỉ huy sứ Vũ Xuyên bá, lịch sĩ tam triều.
統元間位至太師仁國公後封安興王	Thống Nguyên gian, vị chí Thái sư Nhân quốc công, hậu phong An Hưng Vương.
陰結朋黨内外恊謀人心㱕附	Âm kết bằng đảng, nội ngoại hiệp mưu, nhân tâm quy phụ.
遂行簒弑假詔稱禪而即真矣	Toại hành soán thí, giả chiếu, xưng thiền nhi tức chân hĩ.
是月登容入昇龍城居正殿	Thị nguyệt, Đăng Dung nhập Thăng Long thành cư chính điện.
登柄評曰本紀言莫氏代黎盖以明夫簒逆	Đăng Bính bình viết: Bản kỷ ngôn Mạc thị đại Lê cái dĩ minh phu soán nghịch..
之端	chi đoan.
當此之時󰁮朝諸大臣皆注目閉口靣靣相窺	Đương thử chi thời, cử triều chư đại thần giai chú mục bế khẩu, diện diện tương khuy.
向使黎朝中有一人䏻扙義與黎家出力誅逆禁惡以討叛臣之罪則其興復社稷猶可圖也	Hướng sử Lê triều trung, hữu nhất nhân năng trượng nghĩa, dữ Lê gia xuất lực tru nghịch cấm ác, dĩ thảo phản thần chi tội tắc kì hưng phục xã tắc do khả đồ dã.
胡乃甘心守職依憑寵祿以苟富貴圖免其身	Hồ nãi cam tâm thủ chức, y bằng sủng lộc, dĩ cẩu phú quý, đồ miễn kì thân.
反縱小人陰賛然敎之謀助成其勢以求榮顯使莫氏日益驕弄得以自專上既無軍臣之分下自萌簒逆之心	Phản túng tiểu nhân âm, tán nhiên giáo chi mưu, trợ thành kì thế, dĩ cầu vinh hiển, sử Mạc thị nhật ích kiêu lộng, đắc dĩ tự chuyên, thượng ký vô quân thần chi phận, hạ tự manh soán nghịch chi tâm.
恋爵固寵󰱧義損忠行若狗彘罪惡彰聞其視古之諸賢則遠矣	Luyến tước cố sủng, hoại nghĩa tổn trung, hành nhược cẩu trệ, tội ác chương văn, kì thị cổ chi chư hiền tắc viễn hĩ.
于斯時也權間勢大臣下異	Vu tư thời dã, quyền gian thế đại, thần hạ dị..
心天子孤立於其上舉朝無一人可托欲無傾覆𡸈䏻得乎	tâm, thiên tử cô lập ư kì thượng, cử triều vô nhất nhân khả thác, dục vô khuynh phú, khởi năng đắc hồ?.
卒使翻成光紹統元之禍逼脅人心天帝于荒丘奪取黎朝天下僣稱位號居于黄屋絞僞多端	Tốt sử phiên thành Quang Thiệu, Thống nguyên chi hoạ, bức hiếp nhân tâm, thiên đế vu hoang khâu, đoạt thủ Lê triều thiên hạ, tiếm xưng vị hiệu, cư vu hoàng ốc, giảo nguỵ đa đoan.
以海陽一隅之地稱爲陽京自廢黎朝陵寢誅戮前大功臣子尊迹其所行𭁈曹操無異	Dĩ Hải Dương nhất ngung chi địa, xưng vi Dương Kinh, tự phế Lê triều lăng tẩm, tru lục tiền đại công thần tử tôn, tích kì sở hành dữ Tào Tháo vô dị.
可勝痛哉	Khả thắng thống tai.
登庸封其宗室莫鈌名為靖國公中官阮世恩為蒞國公唐安縣慕澤社人使居輔弼左右	Đăng Dung phong kì tông thất Mạc [khuyết danh] vi Tĩnh quốc công, Trung quan Nguyễn Thế Ân vi Lị Quốc công [Đường An huyện, Mộ Trạch xã nhân ] sử cư phụ bật tả hữu.
臣民失望天下惶惶	Thần dân thất vọng, thiên hạ hoàng hoàng.
登庸恐人心懷𦾔久復生变乃遵守黎	Đăng Dung khủng nhân tâm hoài cựu, cửu phục sinh biến, nãi tuân thủ Lê..
朝法度不敢廢置撫諭臣󰱃鎮則人心掩其耳目	triều pháp độ, bất cảm phế trí, phủ dụ thần thứ, trấn tắc nhân tâm, yểm kì nhĩ mục.
謀假求功臣世家子孫	Mưu giả cầu công thần thế gia tử tôn.
於是人多迯竄山林或隐若姓名不出或羣聚為劫黨或去臣於外國以偷生莫知所從矣	Ư thị, nhân đa đào thoán sơn lâm, hoặc ẩn nhược tính danh bất xuất, hoặc quần tụ vi kiếp đảng, hoặc khứ thần ư ngoại quốc dĩ thâu sinh, mạc tri sở tòng hĩ.
戊子莫僣明德二年明嘉靖七年	Mậu tí [Mạc tiếm Minh Đức nhị niên Minh Gia Tĩnh thất niên ].
春正月是時登庸欲更立新政乃令鑄𦾔年號樣圜法通寶錢多不䏻成	Xuân, chính nguyệt, thị thời, Đăng Dung dục cánh lập tân chính, nãi lệnh chú cựu niên hiệu dạng viên pháp Thông Bảo tiền, đa bất năng thành.
後復鑄鉛鉄新色諸間錢頒行天下各處使之通用焉	Hậu phục chú duyên thiết tân sắc chư gian tiền, ban hành thiên hạ các xứ, sử chi thông dụng yên.
登柄評曰錢年莫氏雖以受禅猶書黎朝統	Đăng Bính bình viết: Tiền niên, Mạc thị tuy dĩ thụ thiền do thư Lê triều Thống..
元六年為正	Nguyên lục niên vi chính.
自茲以後黎朝無年號可紀乃以莫氏明德年號分注两行不得書正統以明簒僞也	Tự tư dĩ hậu, Lê triều vô niên hiệu khả kỷ, nãi dĩ Mạc thị Minh Đức niên hiệu phân chú lưỡng hàng, bất đắc thư chính thống, dĩ minh soán nguỵ dã.
至癸巳年荘宗復起兵于哀牢國中𨿽未盡復然以正統書之盖以明夫君臣之分如此也	Chí Quý Tị niên, Trang Tông phục khởi binh vu Ai Lao, quốc trung tuy vị tận phục, nhiên dĩ Chính Thống thư chi cái dĩ minh phu quân thần chi phận như thử dã.
二月登庸以阮國憲為駙馬都尉太保林國公賜姓莫莫國楨為太師麟國公莫廷科為左都督謙郡公	Nhị nguyệt, Đăng Dung dĩ Nguyễn Quốc Hiến vi Phò mã Đô uý thái bảo Lâm quốc công tứ tính Mạc, Mạc Quốc Trinh vi Thái sư Lân quốc công, Mạc Đình Khoa vi Tả đô đốc khiêm quận công.
少保通郡公阮時雍萊郡公陳棐淳溪侯屈瓊玖慶溪侯阮秉德宏禮侯范嘉謨蘭	Thiếu Bảo Thông quận công Nguyễn Thì Ung, Lai Quận công Trần Phỉ, Thuần Khê hầu Khuất Quỳnh Cửu, KHánh Khê hầu Nguyễn Bỉnh Đức, Hoằng Lễ hầu Phạm Gia Mô, Lan..
