大越史記續編序	Đại Việt sử kí tục biên tự.
下詔賑貧而民心益固󰱇将禦戎而元㓂以平重興事業昭映千古足爲陳家之賢君	Hạ chiếu chẩn bần nhi dân tâm ích cố; tuyển tướng ngự nhung nhi Nguyên khấu dĩ bình; trùng hưng sự nghiệp, chiêu ánh thiên cổ, túc vi Trần gia chi hiền quân.
然遊心釋典而築天健之庵給養僧尼而	Nhiên du tâm Thích điển nhi trúc Thiên Kiện chi am, cấp dưỡng tăng ni nhi ...
鑄普明之鼎非帝王之治也	chú Phổ Minh chi đỉnh, phi đế vương chi trị dã.
英宗定朝班文武之階制士人科󰁮之式大旱則録囚大飢則賑貸治急養民政先風憲文物制度渙然一新亦足為陳家之令主	Anh Tông định triều ban văn vũ chi giai, chế sĩ nhân khoa cử chi thức; đại hạn tắc lục tù, đại cơ tắc chẩn thải; trị cấp dưỡng dân, chính tiên phong hiến; văn vật chế độ, hoán nhiên nhất tân, diệc túc vi Trần gia chi lệnh chủ.
然從沙門於安子之山勞民力於英雲之閣非帝王之量也	Nhiên tòng sa môn ư Yên Tử chi sơn, lao dân lực ư Anh Vân chi các, phi đế vương chi lượng dã.
明宗天性謙冲受英宗議逰神於翰墨之娛馳筆於水雲之集勸賢有詩嗜酒有戒似可稱矣	Minh Tông thiên tính khiêm xung, thụ Anh Tông nghị, du thần ư Hàn mặc chi ngu, trì bút ư Thuỷ Vân chi tập, khuyến hiền hữu thi, thị tửu hữu giới, tự khả xưng hĩ.
然官制冗多刑獄寃濫輕信克終之奸以致國頊之死	Nhiên quan chế nhũng đa, hình ngục oan lạm, khinh tín Khắc Chung chi gian, dĩ trí Quốc Chẩn chi tử.
𡸈不爲聰明之玷乎憲宗天資英睿運撫承平撰御書	Khởi bất vi thông minh chi điếm hồ? Hiến Tông thiên tư anh duệ, vận phủ thừa bình, soạn ngự thư ...
則有集教皇子則有詩隨朝𭓇士之定其令著作典雅之有其官築石堤以防水患立倉漕以賑流民亦可嘉矣	tắc hữu tập, giáo hoàng tử tắc hữu thi, tuỳ triều học sĩ chi định kì lệnh, trước tác điển nhã chi hữu kì quan, trúc thạch đê dĩ phòng thuỷ hoạn, lập thương tào dĩ chẩn lưu dân, diệc khả gia hĩ.
然逍遙於甘露之峰勤懇於瓊林之佛逐日博戲以爲娛頻年災異而不𮗓𡸈不為人明之累乎裕宗至性聰敏𭓇問髙明武僃文脩四夷賓服	Nhiên tiêu dao ư Cam Lộ chi phong, cần khẩn ư Quỳnh Lâm chi Phật, trục nhật bác hí dĩ vi ngu, tần niên tai dị nhi bất giác, khởi bất vi nhân minh chi luỵ hồ? Dụ Tông chí tính thông mẫn, học vấn cao minh, vũ bị văn tu, tứ di tân phục.
紹豊大治之時政事悉󰁮似可取矣	Thiệu Phong, Đại Trị chi thời, chính sự tất cử, tự khả thủ hĩ.
然而晚節信任鄒庚縱聚麀之欲開暏博之塲荒游無度飢饉荐臻陳家之業由此而衰	Nhiên nhi vãn tiết tín nhiệm Trâu Canh, túng tụ ưu chi dục, khai đổ bác chi trường, hoang du vô độ, cơ cận tiến trăn, Trần gia chi nghiệp do thử nhi suy.
藝宗削平内難光復舊物有敬天爱民之	Nghệ Tông tước bình nội nạn, quang phục cựu vật, hữu kính thiên ái dân chi ...
實有保󰘊制治之䂓僊逰有取士之科葆和有餘暇之集定國朝禮󰀩之制除沙州截脚之令䂓模功烈炳彪宇宙	thực, hữu bảo bang chế trị chi quy, Tiên Du hữu thủ sĩ chi khoa, Bảo Hoà hữu Dư Hạ chi tập, định quốc triều lễ nghi chi chế, trừ sa châu tiệt cước chi lệnh, quy mô công liệt, bỉnh bưu vũ trụ.
然恭儉有餘而剛斷不足外而占㓂侵逼京畿内而逆胡窺窬神噐陳家之業由此而亡	Nhiên cung kiệm hữu dư, nhi cương đoán bất túc, ngoại nhi Chiêm khấu xâm bức Kinh kì, nội nhi nghịch Hồ khuy du thần khí, Trần gia chi nghiệp do thử nhi vong.
睿宗受神之初留心圖治󰱇将練兵設科取士帝箴有制皇訓有書自可有為	Duệ Tông thụ thần chi sơ, lưu tâm đồ trị, tuyển tướng luyện binh, thiết khoa thủ sĩ, đế châm hữu chế, hoàng huấn hữu thư, tự khả hữu vi.
然𫳭任外戚以啓奸臣僣竊之謀拒黎錫忠諫之䟽聽子平詭奏之言親征占城輕入倚忙之洞忿兵取禍卒殞其身	Nhiên sủng nhiệm ngoại thích dĩ khải gian thần tiếm thiết chi mưu, cự Lê Tích trung gián chi sớ, thính Tử Bình quỷ tấu chi ngôn, thân chinh Chiêm Thành, khinh nhập Ỷ Mang chi động, phẫn binh thủ hoạ, tốt vẫn kì thân.
簡皇童心益甚秉德不	Giản Hoàng đồng tâm ích thậm, bỉnh đức bất ...
常運寶貨以臧天健之山頒旗劎以厚季犛之賜禦㓂無謀威令不振卒使蒲黄得志而資福見囚	thường, vận bảo hoá dĩ tàng Thiên Kiện chi sơn, ban kì kiếm dĩ hậu Quý Li chi tứ, ngự khấu vô mưu, uy lệnh bất chấn, tốt sử bồ hoàng đắc chí, nhi Tư Phúc kiến tù.
順宗聽命權臣徒擁虚噐金甌之役未󰰾石城之宴方醲列侯就誅至靈㱕隱卒使赤觜横行而玉清見逼	Thuận Tông thính mệnh quyền thần, đồ ủng hư khí, Kim Âu chi dịch vị bãi, Thạch Thành chi yến phương nùng, liệt hầu tựu tru, Chí Linh quy ẩn, tốt sử Xích tuỷ hoành hành, nhi Ngọc Thanh kiến bức.
少帝以幼冲之年廢立之權出於胡季犛之口而陳家之祚亡矣	Thiếu Đế dĩ ấu trùng chi niên, phế lập chi quyền xuất ư Hồ Quý Li chi khẩu, nhi Trần gia chi tộ vong hĩ.
抑又論之陳家歷代凡十二帝享國一百七十餘年	Ức hựu luận chi: Trần gia lịch đại, phàm thập nhị đế, hưởng quốc nhất bách thất thập dư niên.
所可稱者太宗有帝王之量聖宗有仁厚之德仁宗有重興之功英宗有達孝之實明宗有文治之	Sở khả xưng giả, Thái Tông hữu đế vương chi lượng, Thánh tông hữu nhân hậu chi đức, Nhân Tông hữu trùng hưng chi công, Anh Tông hữu đạt hiếu chi thực, Minh Tông hữu văn trị chi ...
體藝宗有恢復之績	thể, Nghệ Tông hữu khôi phục chi tích.
然惠宗見弑而君臣之道䘮仁者不爲也靈慈見娶而夫婦之恩乖義者不爲也以堂堂之天子而爲竹林之禅智者不爲也以肅肅之王姬而爲占城之配禮者不爲也	Nhiên Huệ Tông kiến thí, nhi quân thần chi đạo táng, nhân giả bất vi dã; Linh Từ kiến thú, nhi phu phụ chi ân quai, nghĩa giả bất vi dã; dĩ đường đường chi thiên tử, nhi vi Trúc Lâm chi thiền, trí giả bất vi dã; dĩ túc túc chi vương cơ, nhi vi Chiêm Thành chi phối, lễ giả bất vi dã.
親迎其子之妻則倫之亂矣嬖幸倡人之女則禍之胎矣	Thân nghênh kì tử chi thê, tắc luân chi loạn hĩ; bế hạnh xướng nhân chi nữ, tắc hoạ chi thai hĩ.
後宫苑池之逰則志荒矣外戚權臣之𫳭則政蠹矣帝王脩齊治平之道果如是乎在朝之臣則有日燏建󰚴子之功國峻献白藤之捷亦頡頏於郭汾陽㓂萊公之名󰕑固可	Hậu cung uyển trì chi du, tắc chí hoang hĩ; ngoại thích quyền thần chi sủng, tắc chính đố hĩ, đế vương tu tề trị bình chi đạo, quả như thị hồ! Tại triều chi thần tắc hữu Nhật Duật kiến Hàm Tử chi công, Quốc Tuấn hiến Bạch Đằng chi tiệp, diệc hiệt hàng ư Quách Phần Dương, Khấu Lai Công chi danh dự, cố khả ...
稱矣	xưng hĩ.
至於陳光啓馮佐周陳元旦范五老段汝諧張漢超丁拱垣范師孟阮忠彦黎伯适之諸賢而時君或以見踈宜其治之不古若也	Chí ư Trần Quang Khải, Phùng Tá Chu, Trần Nguyên Đán, Phạm Ngũ Lão, Đoàn Nhữ Hài, Trương Hán Siêu, Đinh Củng Viên, Phạm Sư Mạnh, Nguyễn Trung Ngạn, Lê Bá Quát chi chư hiền nhi thời quân hoặc dĩ kiến sơ, nghi kì trị chi bất cổ nhược dã.
他如陳克終之奸邪陳慶餘之貪鄙何足𬢱㢤	Tha như Trần Khắc Chung chi gian tà, Trần Khánh Dư chi tham bỉ, hà túc nghị tai.
大抵李陳之亡雖由綱常之紊亂亦由異端之蠱惑𭛁庫钱而造佛像𭛁庫銅而鑄洪鍾𭛁庫紙而寫佛經李朝之事佛謹矣然殺李氏之子孫者纔出於陳守度之兇險而佛不䏻救	Đại để, Lí Trần chi vong, tuy do cương thường chi vặn loạn, diệc do dị đoan chi cổ hoặc; phát khố tiền nhi tạo Phật tượng, phát khố đồng nhi chú hồng chung, phát khố chỉ nhi tả Phật kinh, Lí triều chi sự Phật cẩn hĩ, nhiên sát Lí thị chi tử tôn giả tài xuất ư Trần Thủ Độ chi hung hiểm nhi Phật bất năng cứu.
以天子而爲大士以妃嬪而爲丘尼以王主而爲僧眾陳	Dĩ thiên tử nhi vi đại sĩ, dĩ phi tần nhi vi khưu ni, dĩ vương chủ nhi vi tăng chúng, Trần ...
家之事佛篤矣然弑陳氏之宗室者皆出於胡季犛之奸甚而佛不䏻度	gia chi sự Phật đốc hĩ, nhiên thí Trần thị chi tông thất giả, giai xuất ư Hồ Quý Li chi gian thậm, nhi Phật bất năng độ.
則奉佛之事果何補㢤若夫胡季犛倚掖庭之親稔奸臣之惡肆虐以暴其民欺君而簒其位罪盈怨積海内離心明人入㓂身虜國亡死作他鄕之鬼卒為天下所笑	Tắc phụng Phật chi sự quả hà bổ tai? Nhược phù Hồ Quý Li ỷ dịch đình chi thân, nhẫm gian thần chi ác, tứ ngược dĩ bạo kì dân, khi quân nhi soán kì vị, tội doanh oán tích, hải nội li tâm, Minh nhân nhập khấu, thân lỗ quốc vong, tử tác tha hương chi quỷ, tốt vi thiên hạ sở tiếu.
胡漢蒼承簒國之後行暴民之政	Hồ Hán Thương thừa soán quốc chi hậu, hành bạo dân chi chính.
明人南侵而䦕河失守社稷為墟天綱恢恢踈而不漏	Minh nhân Nam xâm nhi quan hà thất thủ, xã tắc vi khư, thiên cương khôi khôi sơ nhi bất lậu.
嗚呼禮莫大於分分莫大於名名分者國之隄防不可不謹	Ô hô! Lễ mạc đại ư phận, phận mạc đại ư danh; danh phận giả, quốc chi đê phòng, bất khả bất cẩn.
名分正則綱常立	Danh phận chính tắc cương thường lập.
彼龍鋌以弟弑	Bỉ Long Đĩnh dĩ đệ thí ...
兄而簒其國是乱賊之尤也而史臣乃以皇帝書之則名不正矣	huynh nhi soán kì quốc, thị loạn tặc chi vưu dã, nhi sử thần nãi dĩ hoàng đế thư chi, tắc danh bất chính hĩ.
季犛以臣弑君而奪其位是奸臣之魁也而史臣乃以先主書之則分不明矣	Quý Li dĩ thần thí quân nhi đoạt kì vị, thị gian thần chi khôi dã, nhi sử thần nãi dĩ Tiên chủ thư chi, tắc phận bất minh hĩ.
若按春秋之法定褒貶之公固當削卧朝之僞稱以誅逆賊去季犛之僣號以討奸臣然後正名分於當時扶綱常於萬世而史臣之謬可盡洗矣	Nhược án Xuân Thu chi pháp, định bao biếm chi công, cố đương tước Ngoạ Triều chi nguỵ xưng dĩ tru nghịch tặc; khử Quý Li chi tiếm hiệu dĩ thảo gian thần, nhiên hậu chính danh phận ư đương thời, phù cương thường ư vạn thế, nhi sử thần chi mậu khả tận tẩy hĩ.
至若陳家忠義之臣如周居敬陳平仲阮翰陳錫阮鋭陶堅陳實黎桶陳紹范玄齡黎亞夫阮决阮雲霓阮訶黎勤刘常阮沆何德鄰	Chí nhược Trần gia trung nghĩa chi thần như: Chu Cư Kính, Trần Bình Trọng, Nguyễn Hàn, Trần Tích, Nguyễn Nhuệ, Đào Kiên, Trần Thực, Lê Thống, Trần Thiệu, Phạm Huyền Linh, Lê Á Phu, Nguyễn Quyết, Nguyễn Vân Nghê, Nguyễn Kha, Lê Cần, Lưu Thường, Nguyễn Hàng, Hà Đức Lân, ...
陳渴真梁元彪之諸賢正氣猶存芳名不朽其節󰒂之稱不可枚󰁮	Trần Khát Chân, Lương Nguyên Bưu chi chư hiền chính khí do tồn, phương danh bất hủ, kì tiết nghĩa chi xưng bất khả mai cử.
為陳家而思報仇裴伯耆之心即包胥豫讓之心也為陳家而請立後黎景詢之心即舅犯仁傑之心也	Vị Trần gia nhi tư báo cừu, Bùi Bá Kì chi tâm tức Bao Tư, Dự Nhượng chi tâm dã; vị Trần gia nhi thỉnh lập hậu, Lê Cảnh Tuân chi tâm tức Cữu Phạm, Nhân Kiệt chi tâm dã.
萬言之書忠貫日月非斯文之力乎七斬之疏󰒂感鬼神非吾儒之功乎惜其時君昏暗不䏻信聽以𦤶淪亡無足怪矣	Vạn ngôn chi thư, trung quán nhật nguyệt, phi tư văn chi lực hồ? Thất trảm chi sớ, nghĩa cảm quỷ thần, phi ngô nho chi công hồ? Tích kì thời quân hôn ám, bất năng tín thính, dĩ trí luân vong, vô túc quái hĩ.
迨夫後陳簡定帝即位於播迁之餘有鄧悉景真之徒與之恊謀奮興󰒂旅致討明賊逋姑之戦幾復陳祚所謂仁󰒂之師也	Đãi phù Hậu Trần Giản Định Đế, tức vị ư bá thiên chi dư, hữu Đặng Tất, Cảnh Chân chi đồ, dữ chi hiệp mưu, phấn hưng nghĩa lữ, trí thảo Minh tặc, Bồ Cô chi chiến, cơ phục Trần tộ, sở vị nhân nghĩa chi sư dã.
夫何	Phù hà ...
輕信讒言遽殺良将速取於敗	khinh tín sàm ngôn, cự sát lương tướng, tốc thủ ư bại.
陳重光帝即位於離乱之際有鄧容阮帥之儔𭁈之戮力共圖帝業	Trần Trùng Quang Đế tức vị ư li loạn chi tế, hữu Đặng Dung, Nguyễn Suý chi trù dữ chi lục lực cộng đồ đế nghiệp.
蔡茄之捷軍聲大振所謂復讐之󰁮也	Thái Già chi tiệp, quân thanh đại chấn, sở vị phục thù chi cử dã.
夫何将帥不和失其機會遂至於亡嗟夫鄧悉景真以讒見殺而明人入㓂視夫檀道濟見殺而魏人來侵岳武穆見殺而金人入㓂	Phù hà tướng soái bất hoà, thất kì cơ hội, toại chí ư vong? Ta phù! Đặng Tất, Cảnh Chân dĩ sàm kiến sát nhi Minh nhân nhập khấu, thị phù Đàn Đạo Tế kiến sát nhi Nguỵ nhân lai xâm; Nhạc Vũ Mục kiến sát nhi Kim nhân nhập khấu.
讒侫覆人國家前後一轍人君用舍之際不可不謹	Sàm nịnh phúc nhân quốc gia tiền hậu nhất triệt, nhân quân dụng xả chi tế bất khả bất cẩn.
閏胡既虜後陳亦亡境内爪分蝠裂甚於周季之時	Nhuận Hồ kí lỗ, Hậu Trần diệc vong, cảnh nội trảo phân bức liệt thậm ư Chu quý chi thời.
官吏法峻刑苛慘於秦亡之日	Quan lại pháp tuấn hình hà, thảm ư Tần vong chi nhật.
由是明人肆虐	Do thị Minh nhân tứ ngược, ...
生民塗炭未有甚於此時也	sinh dân đồ thán, vị hữu thậm ư thử thời dã.
幸頼天道好還人心恊順	Hạnh lại thiên đạo hiếu hoàn, nhân tâm hiệp thuận.
洪惟國朝太祖髙皇帝以殷湯智勇之資奮周武仁󰒂之旅收用豪傑掃蕩妖氛雖以明将梟䧺如柳昇梁銘之軰皆陣𨺻而屍輿狡譎如崔聚黄福之徒亦計窮而靣縛	Hồng duy: Quốc triều Thái Tổ Cao Hoàng Đế dĩ Ân Thang trí dũng chi tư, phấn Chu Vũ nhân nghĩa chi lữ, thu dụng hào kiệt, tảo đãng yêu phân, tuy dĩ Minh tướng kiêu hùng như Liễu Thăng, Lương Minh chi bối, giai trận hãm nhi thi dư; giảo quyệt như Thôi Tụ, Hoàng Phúc chi đồ, diệc kế cùng nhi diện phược.
二十餘年之乱一旦削平山河以之改觀海宇以之寕謚由太祖髙皇帝勇智寬仁君臣恊心同德之所𦤶也	Nhị thập dư niên chi loạn nhất đán tước bình, sơn hà dĩ chi cải quan, hải vũ dĩ chi ninh thuỵ, do Thái Tổ Cao Hoàng Đế dũng trí khoan nhân, quân thần hiệp tâm đồng đức chi sở trí dã.
觀其帝之神武不殺即天地之心也秋豪無犯即天地之量也秋養諸路流民即天地之仁也	Quan kì đế chi thần vũ bất sát, tức thiên địa chi tâm dã; thu hào vô phạm, tức thiên địa chi lượng dã; thu dưỡng chư lộ lưu dân, tức thiên địa chi nhân dã.
放㱕十萬降卒即天地之德也	Phóng quy thập vạn hàng tốt, tức thiên địa chi đức dã.
󰁮賢有令即成湯之立賢無方也論降有書即成湯之代虐以寬也	Cử hiền hữu lệnh, tức Thành Thang chi lập hiền vô phương dã; luận hàng hữu thư, tức Thành Thang chi đại ngược dĩ khoan dã.
兵農有法即武王之農用八政也牧民有條即武王之𫳭綏四方也	Binh nông hữu pháp, tức Vũ Vương chi nông dụng bát chính dã; mục dân hữu điều, tức Vũ Vương chi sủng tuy tứ phương dã.
論以十條軍政講君臣之󰒂也布以六條教化明父子之倫也	Luận dĩ thập điều quân chính, giảng quân thần chi nghĩa dã; bố dĩ lục điều giáo hoá, minh phụ tử chi luân dã.
慎重刑罰謹號令之信也結好明國存交鄰之禮也	Thận trọng hình phạt, cẩn hiệu lệnh chi tín dã; kết hiếu Minh quốc, tồn giao lân chi lễ dã.
若夫建太庙以奉祖考設𭓇校以明人倫	Nhược phù kiến Thái Miếu dĩ phụng tổ khảo, thiết học hiệu dĩ minh nhân luân.
平吳	Bình Ngô ...
大誥無非仁義忠信之言藍山實録無非脩齊治平之道	Đại Cáo vô phi nhân nghĩa trung tín chi ngôn; Lam Sơn Thực Lục vô phi tu tề trị bình chi đạo.
宜乎定大越之乾坤奠皇圖之社稷𡸈趙丁李陳所䏻及㢤	Nghi hồ định Đại Việt chi càn khôn; điện Hoàng đồ chi xã tắc; khởi Triệu, Đinh, Lí, Trần sở năng cập tai.
然後知帝王大業也鋼常正道也	Nhiên hậu tri đế vương đại nghiệp dã, cương thường chính đạo dã.
鋼常立而帝王之大業以成仁󰒂明而天下之大噐以定	Cương thường lập nhi đế vương chi đại nghiệp dĩ thành; nhân nghĩa minh nhi thiên hạ chi đại khí dĩ định.
湯武推仁󰒂之心爽仁󰒂之師	Thang Vũ suy nhân nghĩa chi tâm, sảng nhân nghĩa chi sư.
其得天下以正守天下以仁故䏻臻有道之長	Kì đắc thiên hạ dĩ chính, thủ thiên hạ dĩ nhân, cố năng trăn hữu đạo chi trường.
欽惟太祖髙皇帝取天下於狂明㓂亂之餘其得天下也甚正其守天下也以仁尤必維持之以󰒂固	Khâm duy: Thái Tổ Cao Hoàng Đế, thủ thiên hạ ư cuồng Minh khấu loạn chi dư, kì đắc thiên hạ dã thậm chính, kì thủ thiên hạ dã dĩ nhân, vưu tất duy trì chi dĩ nghĩa, cố ...
結之以仁照臨之以智範圍之以信其脩齊治平之道則𭁈唐󰔄三代而比隆于以衍億載綿洪之業	kết chi dĩ nhân, chiếu lâm chi dĩ trí, phạm vi chi dĩ tín; kì tu tề trị bình chi đạo, tắc dữ Đường Ngu Tam Đại nhi tỉ, long vu dĩ diễn ức tải miên hồng chi nghiệp.
其積累固非一日矣	Kì tích luỹ cố phi nhất nhật hĩ.
方今皇上陛下恢太祖髙皇帝之洪圖備太祖髙皇帝之良法特命臣𢮪𧻗鑑通考總論盖以扶天地綱常之道明帝王治亂之原𭁈夫述太祖髙皇帝創業之艱難使天下後世誦念而不忘焉	Phương kim, Hoàng thượng bệ hạ, khôi Thái Tổ Cao Hoàng Đế chi hồng đồ, bị Thái Tổ Cao Hoàng Đế chi lương pháp, đặc mệnh thần soạn Việt Giám Thông Khảo tổng luận, cái dĩ phù thiên địa cương thường chi đạo, minh đế vương trị loạn chi nguyên, dữ phù thuật Thái Tổ Cao Hoàng Đế sáng nghiệp chi gian nan, sử thiên hạ hậu thế tụng niệm nhi bất vong yên.
伏願	Phục nguyện, ...
皇帝陛下於萬幾之暇講明治道讀趙丁李陳之事則知天命人心之去留識國統󰘊圖之隆賛辨君子小人之消長察氣数風俗之盛衰而歷代政事之得失可得而明矣	Hoàng đế bệ hạ ư vạn cơ chi hạ, giảng minh trị đạo; độc Triệu, Đinh, Lí, Trần chi sự, tắc tri thiên mệnh nhân tâm chi khứ lưu, thức quốc thống bang đồ chi long tán, biện quân tử tiểu nhân chi tiêu trưởng, sát khí số phong tục chi thịnh suy, nhi lịch đại chính sự chi đắc thất, khả đắc nhi minh hĩ.
讀本朝太祖髙皇帝創業之事則想卧薪嘗膽之焦勞念沐雨櫛風之艰苦審制治保󰘊之至計恢子民經國之遠圖而聖朝宏遠䂓模可得而見矣	Độc bản triều Thái Tổ Cao Hoàng Đế sáng nghiệp chi sự, tắc tưởng ngoạ tân thường đảm chi tiêu lao, niệm mộc vũ trất phong chi gian khổ, thẩm chế trị bảo bang chi chí kế, khôi tử dân kinh quốc chi viễn đồ, nhi Thánh triều hoành viễn quy mô khả đắc nhi kiến hĩ.
於是聖𭓇益以	Ư thị, thánh học ích dĩ ...
髙明聖域益以深造治道益以尊隆所以爲天地而立心所以爲綱常而立極為生民而立命為億萬世而開太平于以奠國勢於泰盤于以措生民於袵席而帝王大業洪圖𭁈天地同悠久矣	cao minh, thánh vực ích dĩ thâm tạo, trị đạo ích dĩ tôn long, sở dĩ vị thiên địa nhi lập tâm, sở dĩ vị cương thường nhi lập cực, vị sinh dân nhi lập mệnh, vị ức vạn thế nhi khai thái bình; vu dĩ điện quốc thế ư Thái bàn, vu dĩ thố sinh dân ư nhậm tịch, nhi đế vương đại nghiệp hồng đồ dữ thiên địa đồng du cửu hĩ.
洪順六年甲戌仲秋	Hồng Thuận lục niên, Giáp Tuất, trọng thu.
賜甲辰科進士特進金紫榮禄大夫少保禮部尚書東閣大𭓇士兼國子監祭酒知經筵事󰦛書伯柱國臣黎嵩謹奉勅𢮪	Tứ Giáp Thìn khoa Tiến sĩ, đặc tiến Kim tử Vinh lộc đại phu, Thiếu bảo, Lễ bộ Thượng thư, Đông các đại học sĩ kiêm Quốc tử giám Tế tửu, Tri Kinh diên sự, Đôn Thư bá, Trụ quốc, thần Lê Tung cẩn phụng sắc soạn.
