大越史記本紀全書卷之一	Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhất.
自此明之正朔不行於我都縣矣	Tự thử Minh chi chính sóc bất hành ư ngã đô huyện hĩ.
二十二日帝進軍西扶烈	Nhị thập nhị nhật, đế tiến quân Tây Phù Liệt.
二十三日帝遣陳扞黎僃等領水軍百餘艘泝大滝江出喝江口順	Nhị thập tam nhật, đế khiển Trần Hãn, Lê Bị đẳng lĩnh thuỷ quân bách dư sưu tố Đại Lủng giang xuất Hát giang khẩu thuận..
流而下至瀘江東步頭黎禮等領步兵萬餘人潜至西陽橋	lưu nhi hạ chí Lô giang Đông Bộ Đầu, Lê Lễ đẳng lĩnh bộ binh vạn dư nhân tiềm chí Tây Dương kiều.
帝親率兵象至大羅城外南門攻東䦕城	Đế thân suất binh tượng chí Đại La thành ngoại Nam môn công Đông Quan thành.
夜三皷四面夾攻縱火焚城外房室煙燄涨天	Dạ tam cổ tứ diện giáp công, túng hoả phần thành ngoại phòng thất yên diễm trướng thiên.
方政屯外營相争入城門死者屍相󰥺	Phương Chính đồn ngoại doanh tương tranh nhập thành môn tử giả thi tương chẩm.
悉獲國人之被脅從者及戦船百艅艘噐伏甚多	Tất hoạch quốc nhân chi bị hiếp tòng giả, cập chiến thuyền bách dư sưu khí phục thậm đa.
賊知附近軍民悉爲我有勢日窮蹙乃復增築壁壘死守待援	Tặc tri phụ cận quân dân tất vi ngã, hữu thế nhật cùng xúc, nãi phục tăng trúc bích luỹ, tử thủ đãi viện.
帝徙駐營東扶烈	Đế tỉ trú dinh Đông Phù Liệt.
帝至冬都城之初京路豪傑及各府縣人民邉鎮酋長皆輻輳軍門願效死力以攻各處賊城	Đế chí Đông Đô thành chi sơ kinh lộ hào kiệt cập các phủ huyện nhân dân biên trấn tù trưởng giai bức thấu quân môn nguyện hiệu tử lực dĩ công các xứ tặc thành.
帝推其	Đế suy kì..
赤心撫諭宣勞曉以去逆就順之理	xích tâm, phủ dụ, tuyên lạo, hiểu dĩ khứ nghịch tựu thuận chi lí.
凡士庻人民來詣軍營帝皆卑辝厚禮以待之各隨其才高下以布眾職	Phàm sĩ thứ nhân dân lai nghệ quân doanh, đế giai ti từ, hậu lễ dĩ đãi chi, các tuỳ kì tài cao hạ dĩ bố chúng chức.
礪之以爵賞使人勸鰌之以刑罰使人自懲	Lệ chi Dĩ tước thưởng sử nhân khuyên thu chi, dĩ hình phạt sử nhân tự trừng.
是以人人感激期盡死力所至輙有功	Thị dĩ nhân nhân cảm kích kì tận tử lực sở chí triếp hữu công.
帝分東部頭諸路鎮爲四道	Đế phân Đông Bộ Đầu chư lộ trấn vi tứ đạo.
置内外文武僚属海門各處廵檢令譏察徃來人及捕僞官叛黨未化軍民懷貳挾書㱕北者	Trí nội ngoại văn vũ liêu thuộc hải môn các xứ tuần kiểm lệnh cơ sát vãng lai nhân cập bổ nguỵ quan phản đảng vị hoá, quân dân hoài nhị, giáp thư quy bắc giả.
仍諭文才未受職䏻作文諭東䦕城使彼開門出降及請和還國	Nhưng dụ văn tài vị thụ chức năng tác văn dụ Đông Quan thành sử bỉ khai môn xuất hàng cập thỉnh hoà hoàn quốc,..
即以不次擢用之	tức dĩ bất thứ trạc dụng chi.
又令收僞官妻子奴婢產業送納禾榖乃儲本處候級軍食	Hựu lệnh thu nguỵ quan, thê tử, nô tì, sản nghiệp tống nạp hoà cốc nãi trữ bản xứ hầu cấp quân thực.
冬十一月帝得陳暠立之	Đông thập nhất nguyệt, đế đắc Trần Cảo lập chi.
先是有胡翁者乃丐者之子巤身於琴貴假稱陳氏之後頔	Tiên thị hữu Hồ Ông giả nãi cái giả chi tử, liệp thân ư Cầm Quý giả xưng Trần thị chi hậu địch.
時國人苦賊荷政思得其主而帝急於滅賊救民遂使人迎立以權一時之事	Thời quốc nhân khổ tặc hà chính, tư đắc kì chủ nhi đế cấp ư diệt tặc cứu dân, toại sử nhân nghênh lập dĩ quyền nhất thời chi sự.
且欲籍辝以應明人因以爲侯一作信字建元曰天慶使左僕射黎國興傅之實則監之	Thả dục tịch từ dĩ ứng Minh nhân Nhân dĩ vi hầu [Nhất tác tín tự] kiến nguyên viết: Thiên Khánh, sử Tả bộc xạ Lê Quốc Hưng phó chi, thực tắc giám chi.
暠嘗駐營空路山徙武寕	Cảo thường trú dinh Không Lộ sơn tỉ Vũ Ninh.
十二月禁剪花果木樹刧掠財産者	Thập nhị nguyệt, cấm tiễn hoa quả, mộc thụ, kiếp lược tài sản giả.
帝親督将士日夜擊東都城	Đế thân đốc tướng sĩ nhật dạ kích Đông Đô thành.
明王通山壽等隨戦隨敗心沮噐䘮計窮援絶勢日窮蹙乃遣人賫書乞和願得全眾㱕國	Minh Vương Thông, Sơn Thọ đẳng tuỳ chiến tuỳ bại, tâm trở, khí táng, kế cùng, viện tuyệt, thế nhật cùng xúc, nãi khiển nhân tê thư khất hoà, nguyện đắc toàn chúng quy quốc.
帝曰此言固合我意	Đế viết: "Thử ngôn cố hợp ngã ý.
且兵所謂不戦而屈人兵計之善者也	Thả binh sở vị bất chiến nhi khuất nhân binh kế chi thiện giả dã".
乃詫之約日速調諸城人兵一時俱會東官城尽許㱕國	Nãi sá chi, ước nhật tốc điều chư thành nhân binh nhất thời cụ hội Đông Quan Thành tận hứa quy quốc.
遣近臣與明人俱徃來買賣與良民無異	Khiển cận thần dữ Minh nhân cụ vãng lai mãi mại dữ lương dân vô dị.
時僞都司陳封参政梁汝笏都指揮陳安榮等業以賣國取賊高官恐賊㱕後必無生理陰行反間曰昔烏馬兒軍敗於白騰江率眾來降興道	Thời Nguỵ đô ti Trần Phong, Tham chính Lương Nhữ Hốt, Đô chỉ huy Trần An Vinh đẳng nghiệp dĩ mại quốc thủ tặc cao quan, khủng tặc quy hậu tất vô sinh lí, âm hành phản gián viết: "Tích Ô Mã Nhi quân bại ư Bạch Đằng giang suất chúng lai hàng Hưng Đạo..
大王許之以計取大艦装載送还國又令善氽者已充艦夫	Đại Vương hứa chi, dĩ kế thủ đại hạm trang tải tống hoàn quốc, hựu lệnh thiện tù giả dĩ sung hạm phu.
至海外夜間何其睡熟乃入水中鑚刻艦底賊皆溺死無一生还者	Chí hải ngoại, dạ gian hà kì thuỵ thục nãi nhập thuỷ trung toản khắc hạm để, tặc giai nịch tử, vô nhất sinh hoàn giả".
通等信之相與簧惑復生異心增築複壘掘壕設籖以爲偷生之計	Thông đẳng tín chi, tương dữ hoàng hoặc phục sinh dị tâm, tăng trúc phức luỹ, quật hào thiết thiêm dĩ vi thâu sinh chi kế.
陽言和好隂𢙇異圖潜使數十軰賫蠟書間行乞援	Dương ngôn hoà hảo, âm hoài dị đồ, tiềm sử sổ thập bối tê lạp thư gian hành khất viện.
帝獲之惡其反覆乃於東䦕城外四傍隂設伏兵候賊出入虜獲賊哨三千餘人馬五百餘匹	Đế hoạch chi, ố kì phản phú, nãi ư Đông Quan thành ngoại tứ bàng âm thiết phục binh, hầu tặc xuất nhập, lỗ hoạch tặc tiêu tam thiên dư nhân, mã ngũ bách dư sất.
自是明人閉城不出來使遂絶	Tự thị Minh nhân bế thành bất xuất lai sứ toại tuyệt.
帝遣諸将分兵攻各城國興攻刁鷂市橋二城	Đế khiển chư tướng phân binh công các thành: Quốc Hưng công Điêu Diêu, Thị Kiều nhị thành;..
黎可黎犬攻三江城黎察黎受黎理黎冷黎篆攻昌江城黎榴黎盃攻丘温城	Lê Khả, Lê Khuyển công Tam Giang thành; Lê Sát, Lê Thụ, Lê Lí, Lê Lãnh, Lê Triện công Xương Giang thành; Lê Lựum Lê Bôi công Khâu Ôn thành.
二十日置各路安撫使	Nhị thập nhật trí các lộ An phủ sứ.
以陶公僎阮翼等二十四人爲之	Dĩ Đào Công Soạn, Nguyễn Dực đẳng nhị thập tứ nhân vi chi.
置六部員外郎以阮宗偉等六人爲之	Trí Lục bộ viên ngoại lang dĩ Nguyễn Tông Vĩ đẳng lục nhân vi chi.
丁未明宣德二年	Đinh Mùi [Minh Tuyên Đức nhị niên ].
春正月	Xuân chính nguyệt.
帝進軍瀘江北岸與東䦕城對壘	đế tiến quân Lô giang bắc ngạn dữ Đông Quan thành đối luỹ.
少尉黎可等守東門司徒黎禮守南門太監黎極領鉄突二衛衙宜福等守西門少尉黎篆領軍二衛守北門圍攻東都城	Thiếu uý Lê Khả đẳng thủ đông môn, Tư đồ Lê Lễ thủ nam môn, Thái giám Lê Cực lĩnh thiết đột nhị vệ nha Nghi Phúc đẳng thủ tây môn, Thiếu uý Lê Triện lĩnh quân nhị vệ thủ bắc môn, vi công Đông Đô thành.
明山壽遣阮任等三人來通信	Minh Sơn Thọ khiển Nguyễn Nhậm đẳng tam nhân lai thông tin.
四諸路軍火首職有差	Tứ chư lộ quân Hoả thủ chức hữu sai.
遣楊太一修興道大王祠禁伐廟樹	Khiển Dương Thái Nhất tu Hưng Đạo Đại Vương từ, cấm phạt miếu thụ.
令安路納衝木竹箭	Lệnh An lộ nạp xung mộc trúc tiễn.
補翰林院及四道属五百十五人	Bổ Hàn lâm viện cập tứ đạo thuộc ngũ bách thập ngũ nhân.
令諸路鎮貯糧昌江三江城以級軍用	Lệnh chư lộ trấn trữ lương Xương Giang, Tam Giang thành dĩ cấp quân dụng.
令将校路官訪求才畧智勇可稱司馬上将重職者各薦一人	Lệnh tướng hiệu lộ quan phỏng cầu tài lược trí dũng khả xưng Tư mã, Thượng tướng trọng chức giả các tiến nhất nhân.
令人民進粟給軍賞爵有差	Lệnh nhân dân tiến túc cấp quân thưởng tước hữu sai.
乂安演州明人出降	Nghệ An Diễn Châu Minh nhân xuất hàng.
唐安縣武巨練古費縣段路上攻城策及戦掤轒輼𢒎馬車樣	Đường An huyện Vũ Cự Luyện, Cổ Phí huyện Đoàn Lộ thượng công thành sách cập chiến bằng phần ôn, phi mã xa dạng.
令諸将照樣爲之	Lệnh chư tướng chiếu dạng vi chi.
令各将奉事諸功臣廟	Lệnh các tướng phụng sự chư công thần miếu.
遣明百户何旺賫書入東䦕城	Khiển Minh bách hộ Hà Vượng tê thư nhập Đông Quan thành.
遣宣光司馬梁世永	Khiển Tuyên Quang tư mã Lương Thế Vĩnh..
提督父道麻宗繼等造戦船	đề đốc phụ đạo Ma Tông Kế đẳng tạo chiến thuyền.
令諒山安邦總知監軍民事入内少保黎榴行軍擊賊許先斬後聞	Lệnh Lạng Sơn An Bang tổng tri giám quân dân sự Nhập nội thiếu bảo Lê Lựu hành quân kích tặc, hứa tiên trảm hậu văn.
以翰林院乘㫖學士阮廌爲朝列大夫入内行遣吏部尚書兼行樞密院事	Dĩ Hàn Lâm viện thừa chỉ học sĩ Nguyễn Trãi vi Triều liệt đại phu, nhập nội hành khiển lại bộ thượng thư kiêm hành khu mật viện sự.
時帝構層搂於瀘江岸菩提營時有菩提二樹在中故號之高准報天㙮日御樓上睇望城中觀賊所爲賜廌侍坐於第二層領㫖草徃復書	Thời đế cấu tằng lâu ư Lô giang ngạn Bồ Đề dinh [Thời hữu Bồ đề nhị thụ tại trung cố hiệu chi ] cao chuẩn Báo Thiên tháp, nhật ngự lầu thượng đệ vọng thành trung quan tặc, sở vi tứ Trãi thị toạ ư đệ nhị tầng lĩnh chỉ thảo vãng phục thư.
十三日黎榴黎盃等日夜急攻丘温城	Thập tam nhật, Lê Lựu, Lê Bôi đẳng nhật dạ cấp công Khâu Ôn thành.
明人度不交遂棄城夜遁	Minh nhân độ bất giao toại khí thành dạ độn.
誅司馬	Tru tư mã..
黎來籍其家以來恃有戦功出慢語故也	Lê Lai, tịch kì gia dĩ Lai thị hữu chiến công xuất mạn ngữ cố dã.
斬千户李雲及從人裴永以道載󰚴盐入至靈城故也	Trảm thiên hộ Lí Vân cập tòng nhân Bùi Vĩnh dĩ đạo tải hàm diêm nhập Chí Linh thành cố dã.
令點閲軍噐欠鈌者以軍憲處治	Lệnh điểm duyệt quân khí khiếm khuyết giả dĩ quân hiến xử trị.
令太原諒山納麻皮	Lệnh Thái Nguyên Lạng Sơn nạp ma bì.
令司馬高馭總督天関鎮圍古弄城許先聞後治	Lệnh Tư mã Cao Ngự tổng đốc Thiên Quan trấn vi Cổ Lộng thành hứa tiên văn hậu trị.
令新福開鉄治	Lệnh Tân Phúc khai thiết trị.
令少尉黎問屯東関城東門司空黎禮少尉黎察黎理黎磊黎隻屯南門少尉黎僃太監黎阮執令黎拯領鉄突三衛屯西門少尉黎篆黎文安領軍十四衛屯北門	Lệnh Thiếu uý Lê Vấn đồn Đông Quan thành đông môn; Tư KHông Lê Lễ, Thiếu uý Lê Sát Lê Lí, Lê Lỗi, Lê Chích đồn Nam môn; Thiếu uý Lê Bị, Thái giám Lê Nguyễn, chấp lệnh Lê Chửng lĩnh thiết đột tam vệ đồn tây môn; Thiếu uý Lê Triện, Lê Văn An lĩnh quân thập tứ vệ đồn bắc môn.
令三江三𢃄宣光歸化	Lệnh Tam Giang, Tam Đái, Tuyên Quang, Quy Hoá..
納𥯨音徙簩音劳𥯨簩竹各造水城靠珥河北岸高准東䦕城	nạp tỉ [âm tỉ] lao [âm lao tỉ lao trúc các] tạo thuỷ thành, kháo Nhĩ Hà bắc ngạn cao chuẩn Đông Quan thành.
刁鴞城指揮張麟知府陳耘等出路	Điêu Diêu thành chỉ huy Trương Lân, Tri phủ Trần Vân đẳng xuất lộ.
造衮陽砲令諸将照樣爲之	Tạo Cổn dương pháo Lệnh chư tướng chiếu dạng vi chi.
令國人有父母妻子兄弟奴婢親戚從賊在城許自願登城城破即領回家	Lệnh quốc nhân hữu phụ mẫu, thê tử, huynh đệ, nô tì, thân thích tòng tặc tại thành hứa tự nguyện đăng thành, thành phá tức lĩnh hồi gia.
不願而自私争認乞還聚者以軍憲論	Bất nguyện nhi tự tư tranh nhận khất hoàn tụ giả dĩ quân hiến luận.
令賜各處父道爲守禦團練等職爵中品	Lệnh tứ các xứ phụ đạo, vi thủ ngự Đoàn luyện đẳng chức tước trung phẩm.
二月七日方政潜軍襲擊於慈廉杲洞篆力戦死之秘爲賊所獲後賊還國禮遣秘歸	Nhị nguyệt thất nhật, Phương Chính tiềm quân tập kích ư Từ Liêm Cảo Động, Triện lực chiến tử chi, Bí vị tặc sở hoạch [Hậu tặc hoàn quốc lễ khiển Bí quy].
十九日明人攻慈廉排沙堆	Thập cửu nhật, Minh nhân công Từ Liêm Bài Sa Đôi.
我軍堅壁力戦兵噐盡絶以釜	Ngã quân kiên bích lực chiến, binh khí tận tuyệt dĩ phủ..
䈪甓竃徙投之	hích bích táo tỉ] đầu chi.
賊不竹各䏻進乃折民房屋火攻之	Tặc bất trúc các] năng tiến nãi triết dân phòng ốc hoả công chi.
是日風寒火熱我軍避火過江多溺死	Thị nhật phong hàn hoả nhiệt, ngã quân tị hoả quá giang đa nịch tử.
獨天䦕人不善涉水與賊死戦賊反敗走市橋城	Độc Thiên Quan nhân bất thiện thiệp thuỷ dữ tặc tử chiến, tặc phản bại tẩu Thị Kiều thành.
明人唐保貞來降	Minh nhân Đường Bảo Trinh lai hàng.
遣降人曾指揮随阮廌招諭三江城	Khiển hàng nhân Tăng chỉ huy tuỳ Nguyễn Trãi chiêu dụ Tam Giang thành.
占城使來貢	Chiêm Thành sứ lai cống.
賜宴及馬絹遣還	Tứ yến cập mã quyên khiển hoàn.
令僉知樞密何栗偕行	Lệnh Thiêm tri khu mật Hà Lật giai hành.
令将校再立新功爲始大臣至少尉有大勳劳賞金符者得食郡邑執令有功者得食邑督将人亦食郡邑有差	Lệnh tướng hiệu tái lập tân công vi thuỷ Đại thần chí Thiếu uý hữu đại huân lao, thưởng kim phù giả đắc thực quận ấp; Chấp lệnh hữu công giả đắc thực ấp đốc tướng nhân diệc thực quận ấp hữu sai.
無功賞者並降爲常人	Vô công thưởng giả tịnh giáng vi thường nhân.
詔	Chiếụ.
先是三江城人從明總兵官所調攻帝於清化敗還土軍有出謀慢語者清輙駡曰蠻子無禮是乃你每你每	Tiên thị Tam Giang thành nhân tòng Minh tổng binh quan sở điều công đế ư Thanh Hoá bại hoàn, thổ quân hữu xuất mưu mạn ngữ giả, Thanh triếp mựa viết: "Man tử vô lễ thị nãi nhĩ mỗi [nhĩ mỗi..
先朝陵廟爲賊所廢壞者復之給奉事人有差	tiên triều lăng miếu vị tặc sở phế hoại giả phục chi, cấp phụng sự nhân hữu sai.
三月帝閲武于永洞	Tam nguyệt, đế duyệt vũ vu Vĩnh Động.
正督阮連行伍空闕噐械不整斬之以徇軍	Chánh đốc Nguyễn Liên hàng ngũ không khuyết khí giới bất chỉnh trảm chi dĩ tuẫn quân.
以裴於壹爲禮部尚書兼知東道軍民籍簿	Dĩ Bùi ư nhất vi lễ bộ thượng thư kiêm tri Đông đạo quân dân tịch bạ.
令三軍有䏻以身徇國武藝精通用力果敢不顧生死者並許通身選入内府侍衛	Lệnh tam quân, hữu năng dĩ thân tuẫn quốc, vũ nghệ tinh thông, dụng lực quả cảm, bất cố sinh tử giả, tịnh hứa thông thân tuyển nhập nội phủ thị vệ.
六月三江城指揮使𭄁清等出降	Lục nguyệt, Tam Giang thành chỉ huy sứ Lưu Thanh đẳng xuất hàng.
猶言與等者也之皇帝也	do ngôn dữ đẳng giả dã] chi hoàng đế dã.
至是降	Chí thị hàng.
史臣吳士連曰帝之興也義兵所至明人皆敗北𡸈以眾寡強弱之不敵哉盖其德瑛天而天應之悅人而人㱕之不惟本國之人悅服至於叛徒亦尊敬如此宜其無鬪志而皆來降也	Sử thần Ngô Sĩ Liên viết: Đế chi hưng dã, nghĩa binh sở chí Minh nhân giai bại bắc, khởi dĩ chúng quả cường nhược chi bất địch tai? Cái kì đức hiệp thiên nhi thiên ứng chi, duyệt nhân nhi nhân quy chi, bất duy bản quốc chi nhân duyệt phục chí ư phản đồ diệc tôn kính như thử, nghi kì vô đấu chí nhi giai lai hàng dã.
然則仁義之舉質之湯武而有光者	Nhiên tắc nhân nghĩa chi cử chất chi Thang Vũ nhi hữu quang giả.
於此爲尤顯彼其得水之徵𡸈可以讖緯觀之哉	Ư thử vi vưu hiển, bỉ kì đắc thuỷ chi trưng, khởi khả dĩ sấm vĩ quan chi tai.
明各城降人萬餘謀叛誅之	Minh các thành hàng nhân vạn dư mưu phản tru chi.
三江城不預	Tam Giang thành bất dự.
初	Sợ.
八日司空黎禮上将軍黎熾與明人戦於湄洞今黃梅是也禮死之	bát nhật Tư không Lê Lễ, Thượng tướng quân Lê Xí dữ Minh nhân chiến ư Mi Động [Kim Hoàng Mai thị dã ] Lễ tử chi.
是日王通率城中精銳兵出擊太監黎阮於襾扶烈	Thị nhật Vương Thông suất thành trung tinh nhuệ binh xuất kích Thái giám Lê Nguyễn ư Tây Phù Liệt.
阮堅壁拒敵	Nguyễn kiên bích cự địch.
帝促令黎禮黎熾領鉄突五百餘人擊之追至湄洞	Đế xúc lệnh Lê Lễ, Lê Xí lĩnh thiết đột ngũ bách dư nhân kích chi, truy chí Mi Động.
王通見禮兵少夾擊之	Vương Thông kiến Lễ binh thiểu giáp kích chi.
時禮熾乘象力戦陷淖中爲明人所執㱕東䦕城禮不屈遂遇害	Thời Lễ, Xí thừa tượng lực chiến, hãm náo trung vị Minh nhân sở chấp quy Đông Quan thành, Lễ bất khuất, toại ngộ hại.
熾後因風雨夜以計誤守者得脱見帝於菩提營	Xí hậu nhân phong vũ dạ dĩ kế ngộ thủ giả đắc thoát, kiến đế ư Bồ Đề doanh.
帝呼曰還生	Đế hô viết: Hoàn sinh.
初禮每出戦帝嘗戒其輕敵及𡨧洞之捷眾以爲䏻	Sơ Lễ mỗi xuất chiến đế thường giới kì khinh địch cập Tốt Động chi tiệp chúng dĩ vi năng.
帝曰百戦百勝非計之善者也	Đế viết: "Bách chiến bách thắng phi kế chi thiện giả dã.
彼乘輕	Bỉ thừa khinh..
銳狃於數勝其敗可立而待	nhuệ nữu ư sổ thắng, kì bại khả lập nhi đãi".
至是果然	Chí thị quả nhiên.
史臣吳士連曰屈瑕狃於蒲騷之勝以守敗亡暴寡侵小之師也	Sử thần Ngô Sĩ Liên viết: Khuất Hà nữu ư Bồ Tao chi thắng dĩ thủ bại vong, bạo quả xâm tiểu chi sư dã.
黎禮狃於𡨧洞之勝亦以敗亡敵愾復讐之師也	Lê Lễ nữu ư Tốt Động chi thắng diệc dĩ bại vong, địch khái phục thù chi sư dã.
其敗雖同其義則異	kì bại tuy đồng, kì nghĩa tắc dị.
故當時良将以禮篆爲稱首	Cố đương thời lương tướng dĩ Lễ Triện vi xưng thủ.
以通侯黎人澍音注爲行軍督𬋩入内大司馬領前後左右四衛兼知新衛軍事	Dĩ Thông hầu Lê Nhân Chú [âm chú] vi Hành quân đốc quản nhập nội đại tư mã, lĩnh tiền hậu tả hữu tứ vệ kiêm tri tân vệ quân sự.
令國威三帶将校軍人凣見賊書詐誘恐惑人心而私呈本将者斬督将不䏻監察罪同	Lệnh Quốc Oai, Tam Đái tướng hiệu quân nhân: Phàm kiến tặc thư trá dụ khủng hoặc nhân tâm nhi tư trình bản tướng giả trảm, đốc tướng bất năng giám sát tội đồng.
眩惑州縣者解送軍	Huyễn hoặc châu huyện giả giải tống quân..
門斬之	môn trảm chi.
分明降官者居清化乂安籃邑新平等處	Phân Minh hàng quan giả cư Thanh Hoá, Nghệ An, Lam Ấp, Tân Bình đẳng xứ.
令諸路薦舉贒良方正智勇英桀之士召對擢用	Lệnh chư lộ tiến cử hiền lương, phương chính, trí dũng, anh kiệt chi sĩ triệu đối trạc dụng.
隐蔽者以降黜論	Ẩn tế giả dĩ giáng truất luận.
令少尉執令總監等平時軍人犯法不得專殺臨敵而違者許先斬後聞	Lệnh Thiếu uý, Chấp lệnh, Tổng giám đẳng bình thời quân nhân phạm pháp bất đắc chuyên sát, lâm địch nhi vi giả hứa tiên trảm hậu văn.
十九日市橋城出降	Thập cửu nhật, Thị Kiều thành xuất hàng.
帝令曰凣有妻子兄弟前爲各城賊人所掠或爲妻妾或爲奴婢今我既招降爾等相率擊東官城	Đế lệnh viết: Phàm hữu thê tử, huynh đệ tiền vi các thành tặc nhân sở lược hoặc vi thê thiếp hoặc vi nô tì kim ngã ký chiêu hàng nhĩ đẳng tương suất kích Đông Quan thành.
或斬級或生擒我當還之仍賞符陞級有差	Hoặc trảm cấp hoặc sinh cầm, ngã đương hoàn chi, nhưng thưởng phù thăng cấp hữu sai.
禁稱巫蠱左道假稱邪神摇動浮言扇惑人心者	Cấm xưng vu cổ tả đạo giả xưng tà thần dao động phù ngôn phiến hoặc nhân tâm giả.
令	Lệnh..
漂散人民聽還原籍耕種	phiêu tán nhân dân thính hoàn nguyên tịch canh chủng.
無田産者許自販賣	Vô điền sản giả hứa tự phán mại.
若廢業者以重罪論	Nhược phế nghiệp giả dĩ trọng tội luận.
遣明降人朱儕等領馬百四十匹徃化州牧養	Khiển Minh hàng nhân Chu Sài đẳng lĩnh mã bách tứ thập sất vãng Hoá châu mục dưỡng.
習水戦	Tập thuỷ chiến.
令少尉選人民殷富子弟身體壮大武藝精通勇力果敢者每員二百人補侍衛軍畏怯者不用	Lệnh Thiếu uý tuyển nhân dân ân phú tử đệ thân thể tráng đại, vũ nghệ tinh thông, dũng lực quả cảm giả mỗi viên nhị bách nhân bổ thị vệ quân, uý khiếp giả bất dụng.
禁白廪関不得通鹹盐以陶李客𭁈賊通故也	Cấm Bạch Lẫm quan bất đắc thông hàm diêm dĩ Đào Lí Khách dữ tặc thông cố dã.
是月明命安遠侯柳昇帥師來侵以兵部尙書李慶賛軍務	Thị nguyệt, Minh mệnh An viễn hầu Liễu Thăng soái sư lai xâm, dĩ binh bộ thượng thư Lí Khánh tán quân vụ.
時陳洽敗死成山侯王通奏請益兵	Thời Trần Hiệp bại tử, Thành sơn hầu Vương Thông tấu thỉnh ích binh.
明命昇等將七萬人以徃且勑慶舉六卿之属	Minh mệnh Thăng đẳng tương thất vạn nhân dĩ vãng thả sắc Khánh cử Lục Khanh chi thuộc..
有才畧者以自助慶奏陳鏞以下十餘人偕行	hữu tài lược giả dĩ tự trợ, Khánh tấu Trần Dung dĩ hạ thập dư nhân giai hành.
夏四月遣防禦使陳班督修棃花関	Hạ tứ nguyệt, khiển Phòng ngự sứ Trần Ban đốc tu Lê Hoa quan.
帝曰予無才勇智慧獨負重任恐不能勝是以折節求贒傾心下士共圖大事以濟斯民有䏻舉謀勇超群之士及自薦者俱以上卿上爵加之	Đế viết: "Dư vô tài dũng, trí tuệ độc phụ trọng nhiệm, khủng bất năng thắng, thị dĩ triết tiết cầu hiền, khuynh tâm hạ sĩ, cộng đồ đại sự, dĩ tế tư dân, Hữu năng cử mưu dũng siêu quần chi sĩ cập tự tiến giả cụ dĩ thượng khanh thượng tước gia chi.
對黎禮弟丁列爲入内少尉亞侯其妾何玉容等五人並爲宗姬以󰖶死國之勳也	Đối Lê Lễ đệ Đinh Liệt vi Nhập nội thiếu uý á hầu kì thiếp Hà NGọc Dung đẳng ngũ nhân tịnh vi Tông cơ dĩ thù tử quốc chi huân dã.
授黎巴牢觀察使爵上品給田百𤱈以其子篆屢敗勍敵有大功死王事	Thụ Lê Ba Lao Quan sát sứ, tước thượng phẩm, cấp điền bách mẫu dĩ kì tử Triện lũ bại kình địch hữu đại công, tử vương sự.
仍與篆子陵防禦使爵上智字	Nhưng dữ Triện tử lăng phòng ngự sử tước Thượng trí tự.
著服侯及馬二匹	Trước phục hầu cập mã nhị sất.
令壮大而未有軍民簿籍游手游食無差役者有䏻捉送軍門賞爵一資	Lệnh tráng đại nhi vị hữu quân dân bạ tịch, du thủ du thực vô sai dịch giả, hữu năng tróc tống quân môn thưởng tước nhất tư.
令諭鐵突軍十四衞将校軍人曰有䏻同心𦤶命以破賊此爾眾之力若謀畫措置衣糧官賞則在於我	Lệnh dụ thiết đột quân thập tứ vệ tướng hiệu quân nhân viết: Hữu năng đồng tâm trí mệnh dĩ phá tặc thử nhĩ chúng chi lực, nhược mưu hoạch thố trí y lương quan thưởng tắc tại ư ngã.
爾等莫憚勤勞莫󰪽貧乏	Nhĩ đẳng mạc đạn cần lao, mạc ưu bần phạp.
見我妻子貧乏則爾妻子貧乏	Kiến ngã thê tử bần phạp tắc nhĩ thê tử bần phạp.
願爾眾一心討賊莫生煩󰞽	Nguyện nhĩ chúng nhất tâm thảo tặc mạc sinh phiền não.
令乂安新平順化将校軍人曰我起義兵於爾土近欲成功	Lệnh Nghệ An, Tân Bình, Thuận Hoá tướng, hiệu quân nhân viết: "Ngã khởi nghĩa binh ư nhĩ thổ, cận dục thành công.
願爾眾始終一心金石一節以全軍臣父子之義	Nguyện nhĩ chúng thuỷ chung nhất tâm, kim thạch nhất tiết, dĩ toàn quân thần phụ tử chi nghĩa.
我知爾眾皆爲國之士	Ngã tri nhĩ chúng giai vi quốc chi sĩ.
因前時興慶重光枉以虚名不見成功盖由政出多門大臣不知爾眾徒費力於此矣今天下一統我與爾眾義如父子願盡一心復我境土自古将相封侯抑如爾眾無異整爾隊伍練爾軍仁蕩平残㓂分半歸農今天假我事不得已用命則破敵生而有功不用命則死成何事每隊各謄一本日再三讀使軍人知之	Nhân tiền thời Hưng Khánh Trùng Quang uông dĩ hư danh bất kiến thành công cái do chính xuất đa môn đại thần bất tri nhĩ chúng đồ phí lực ư thử hĩ Kim thiên hạ nhất thống Ngã dữ nhĩ chúng nghĩa như phụ tử nguyện tận nhất tâm phục ngã cảnh thổ Tự cổ tướng tương phong hầu ức như nhĩ chúng vô dị chỉnh nhĩ đội ngũ luyện nhĩ quân nhân đãng bình tàn khấu phân bán quy nông Kim thiên giả ngã sự bất đắc dĩ dụng mệnh tắc phá địch sinh nhi hữu công bất dụng mệnh tắc tử thành hà sự mỗi đội các đằng nhất bản nhật tái tam độc sử quân nhân tri chi.
